Reporting File Number,CIK Number,Entity Name,Entity Org Type,Series ID,Series Name,Class ID,Class Name,Class Ticker,Address_1,Address_2,City,State,Zip Code
811-22959,0001605941,1290 Funds,30,S000045910,1290 GAMCO Small/Mid Cap Value Fund,C000143077,Class A,TNVAX,1345 AVENUE OF THE AMERICAS,,NEW YORK,NY,10105
811-22959,0001605941,1290 Funds,30,S000076802,1290 Essex Small Cap Growth Fund,C000236852,Class I,ESCJX,1345 AVENUE OF THE AMERICAS,,NEW YORK,NY,10105
811-22959,0001605941,1290 Funds,30,S000045910,1290 GAMCO Small/Mid Cap Value Fund,C000143079,Class I,TNVIX,1345 AVENUE OF THE AMERICAS,,NEW YORK,NY,10105
811-22959,0001605941,1290 Funds,30,S000045910,1290 GAMCO Small/Mid Cap Value Fund,C000143080,Class R,TNVRX,1345 AVENUE OF THE AMERICAS,,NEW YORK,NY,10105
811-22959,0001605941,1290 Funds,30,S000045911,1290 High Yield Bond Fund,C000143081,Class A,TNHAX,1345 AVENUE OF THE AMERICAS,,NEW YORK,NY,10105
811-22959,0001605941,1290 Funds,30,S000045911,1290 High Yield Bond Fund,C000143082,Class T,TNHCX,1345 AVENUE OF THE AMERICAS,,NEW YORK,NY,10105
811-22959,0001605941,1290 Funds,30,S000045911,1290 High Yield Bond Fund,C000143083,Class I,TNHIX,1345 AVENUE OF THE AMERICAS,,NEW YORK,NY,10105
811-22959,0001605941,1290 Funds,30,S000045911,1290 High Yield Bond Fund,C000143084,Class R,TNHRX,1345 AVENUE OF THE AMERICAS,,NEW YORK,NY,10105
811-22959,0001605941,1290 Funds,30,S000045912,1290 SmartBeta Equity Fund,C000143085,Class T,TNBCX,1345 AVENUE OF THE AMERICAS,,NEW YORK,NY,10105
811-22959,0001605941,1290 Funds,30,S000045912,1290 SmartBeta Equity Fund,C000143086,Class I,TNBIX,1345 AVENUE OF THE AMERICAS,,NEW YORK,NY,10105
811-22959,0001605941,1290 Funds,30,S000045912,1290 SmartBeta Equity Fund,C000143087,Class R,TNBRX,1345 AVENUE OF THE AMERICAS,,NEW YORK,NY,10105
811-22959,0001605941,1290 Funds,30,S000045912,1290 SmartBeta Equity Fund,C000143088,Class A,TNBAX,1345 AVENUE OF THE AMERICAS,,NEW YORK,NY,10105
811-22959,0001605941,1290 Funds,30,S000049989,1290 Multi-Alternative Strategies Fund,C000157845,Class A,TNMAX,1345 AVENUE OF THE AMERICAS,,NEW YORK,NY,10105
811-22959,0001605941,1290 Funds,30,S000049989,1290 Multi-Alternative Strategies Fund,C000157846,Class I,TNMIX,1345 AVENUE OF THE AMERICAS,,NEW YORK,NY,10105
811-22959,0001605941,1290 Funds,30,S000049989,1290 Multi-Alternative Strategies Fund,C000157847,Class R,TNMRX,1345 AVENUE OF THE AMERICAS,,NEW YORK,NY,10105
811-22959,0001605941,1290 Funds,30,S000049989,1290 Multi-Alternative Strategies Fund,C000157848,Class T,TNMCX,1345 AVENUE OF THE AMERICAS,,NEW YORK,NY,10105
811-22959,0001605941,1290 Funds,30,S000049991,1290 Diversified Bond Fund,C000157853,Class A,TNUAX,1345 AVENUE OF THE AMERICAS,,NEW YORK,NY,10105
811-22959,0001605941,1290 Funds,30,S000049991,1290 Diversified Bond Fund,C000157854,Class I,TNUIX,1345 AVENUE OF THE AMERICAS,,NEW YORK,NY,10105
811-22959,0001605941,1290 Funds,30,S000049991,1290 Diversified Bond Fund,C000157855,Class R,TNURX,1345 AVENUE OF THE AMERICAS,,NEW YORK,NY,10105
811-22959,0001605941,1290 Funds,30,S000049991,1290 Diversified Bond Fund,C000157856,Class T,TNUCX,1345 AVENUE OF THE AMERICAS,,NEW YORK,NY,10105
811-22959,0001605941,1290 Funds,30,S000052766,1290 Loomis Sayles Multi-Asset Income Fund,C000165718,Class A,TNXAX,1345 AVENUE OF THE AMERICAS,,NEW YORK,NY,10105
811-22959,0001605941,1290 Funds,30,S000052766,1290 Loomis Sayles Multi-Asset Income Fund,C000165719,Class T,TNXCX,1345 AVENUE OF THE AMERICAS,,NEW YORK,NY,10105
811-22959,0001605941,1290 Funds,30,S000052766,1290 Loomis Sayles Multi-Asset Income Fund,C000165720,Class I,TNVDX,1345 AVENUE OF THE AMERICAS,,NEW YORK,NY,10105
811-22959,0001605941,1290 Funds,30,S000052766,1290 Loomis Sayles Multi-Asset Income Fund,C000165721,Class R,TNYRX,1345 AVENUE OF THE AMERICAS,,NEW YORK,NY,10105
811-22959,0001605941,1290 Funds,30,S000052767,1290 Avantis U.S. Large Cap Growth Fund,C000165722,Class A,TNRAX,1345 AVENUE OF THE AMERICAS,,NEW YORK,NY,10105
