no invariant: F^1, a=1/1, D<=12
no invariant: F^1, a=-1/1, D<=12
no invariant: F^1, a=2/1, D<=12
no invariant: F^1, a=-2/1, D<=12
no invariant: F^1, a=1/2, D<=12
no invariant: F^1, a=-1/2, D<=12
no invariant: F^1, a=3/1, D<=12
no invariant: F^1, a=-3/1, D<=12
no invariant: F^1, a=4/1, D<=12
no invariant: F^1, a=8/1, D<=12
no invariant: F^1, a=-8/1, D<=12
no invariant: F^2, a=1/1, D<=12
no invariant: F^2, a=-1/1, D<=12
no invariant: F^2, a=2/1, D<=12
no invariant: F^2, a=-2/1, D<=12
no invariant: F^2, a=1/2, D<=12
no invariant: F^2, a=-1/2, D<=12
no invariant: F^2, a=3/1, D<=12
no invariant: F^2, a=-3/1, D<=12
no invariant: F^2, a=4/1, D<=12
no invariant: F^2, a=8/1, D<=12
no invariant: F^2, a=-8/1, D<=12
no invariant: F^3, a=1/1, D<=12
no invariant: F^3, a=-1/1, D<=12
no invariant: F^3, a=2/1, D<=12
no invariant: F^3, a=-2/1, D<=12
no invariant: F^3, a=1/2, D<=12
no invariant: F^3, a=-1/2, D<=12
no invariant: F^3, a=3/1, D<=12
no invariant: F^3, a=-3/1, D<=12
no invariant: F^3, a=4/1, D<=12
no invariant: F^3, a=8/1, D<=12
no invariant: F^3, a=-8/1, D<=12
