subset,n,n_dates,n_names,cont_treated_bps,cont_treated_se,cont_ctl_bps,cont_ctl_se,excess_bps,excess_se,y
all,1286,386,45,14.759911928987023,8.30286364733902,-3.9990397593519766,2.3765383242448572,18.758951688338996,7.4680458100342175,r_1330_close_x_w
year=2024,164,110,5,49.664557652538015,16.69979417492619,-0.22876629883262947,2.721695930513062,49.89332395137063,16.221284915484457,r_1330_close_x_w
year=2025,694,223,34,20.31942756365811,9.185238055366673,-1.8556217067661602,2.582457600582074,22.17504927042426,9.038306246009375,r_1330_close_x_w
year=2026,428,53,42,-7.629494026910395,18.667820178680884,-8.919266338837325,5.6478386124184405,1.2897723119269344,15.674111819552305,r_1330_close_x_w
up days,635,248,42,13.987775326012795,8.927126817111855,-0.4850461696687993,2.6702642828536125,14.47282149568159,8.884963572068433,r_1330_close_x_w
down days,651,215,38,15.513071288262958,14.327705971045098,-7.426667915187332,3.8721194540943435,22.939739203450294,12.515886675938315,r_1330_close_x_w
all,1286,386,45,21.108054564864325,7.367110302135396,-0.9694310785644836,2.000189285327837,22.07748564342881,6.881974182891546,r_1330_1530_x_w
year=2024,164,110,5,45.56902711090337,14.77694415444579,-0.9246141186320243,2.4400667712241315,46.4936412295354,14.20237529339094,r_1330_1530_x_w
year=2025,694,223,34,17.24516488637411,8.559529803841475,1.5517548056565447,2.3397154761302668,15.693410080717566,8.25767662853261,r_1330_1530_x_w
year=2026,428,53,42,17.998816105335845,16.478457486200348,-5.074695062392326,4.582706067799909,23.07351116772817,14.953709801051973,r_1330_1530_x_w
up days,635,248,42,25.402318720793357,9.364889098416025,1.682652092656966,2.507290643358997,23.719666628136387,9.266822751489334,r_1330_1530_x_w
down days,651,215,38,16.919332999557213,11.86421262677518,-3.556332482136865,3.1561677208504144,20.47566548169407,10.783077801047344,r_1330_1530_x_w
all,1286,386,45,-5.589893691771545,4.544320998095278,-2.89059485421301,1.181340229638151,-2.6992988375585356,3.982539999127515,r_last30_x_w
year=2024,164,110,5,3.6805795149653346,7.80675186265877,0.7240825332128612,1.471920604509145,2.9564969817524736,7.576676201204302,r_last30_x_w
year=2025,694,223,34,3.471488433137959,4.575780276058147,-3.1344558951013695,1.4373628661905893,6.605944328239327,4.134037341794483,r_last30_x_w
year=2026,428,53,42,-23.835119861379134,10.32771509473261,-3.880238613935724,2.593495685079309,-19.954881247443403,8.772200752606642,r_last30_x_w
up days,635,248,42,-9.714920962023182,5.213754870838394,-2.1179515544876213,1.3955628329164607,-7.59696940753556,4.878760774440214,r_last30_x_w
down days,651,215,38,-1.5662495802357717,7.693976039331052,-3.6442484568637346,1.8787135383709022,2.077998876627962,6.554270165104102,r_last30_x_w
