var,coef,se,t,n,n_dates,n_stocks,model,y
flow_1330_adv_w,0.07428895463296677,0.027055543119658076,2.7457942464658833,402469,594,741,pooled,r_1330_close_x_w
r_to1330,-0.005531569875002055,0.002783547681654497,-1.98723733437689,402469,594,741,pooled,r_1330_close_x_w
abs_r_to1330,0.0063470759273836835,0.003519376605855904,1.8034659652004166,402469,594,741,pooled,r_1330_close_x_w
r_to1330_vol,0.002255185761673095,0.014801705227264527,0.15235986172181537,402469,594,741,pooled,r_1330_close_x_w
flow_1330_adv_w,0.08485172664709462,0.026864654752011947,3.1584893768545417,402469,594,741,pooled,r_1330_1530_x_w
r_to1330,-0.0019599894182512076,0.002404799055484941,-0.8150325133323728,402469,594,741,pooled,r_1330_1530_x_w
abs_r_to1330,0.0032180987498984354,0.002755326647259977,1.167955441181052,402469,594,741,pooled,r_1330_1530_x_w
r_to1330_vol,0.012597886393972507,0.01880502889001864,0.6699211401190258,402469,594,741,pooled,r_1330_1530_x_w
flow_1330_adv_w,-0.008795092872787966,0.015293972693832873,-0.5750692150989972,402469,594,741,pooled,r_last30_x_w
r_to1330,-0.0030529669814805065,0.001409968537505468,-2.165273125088202,402469,594,741,pooled,r_last30_x_w
abs_r_to1330,0.0031755035445655,0.001973605234677536,1.6089861785780784,402469,594,741,pooled,r_last30_x_w
r_to1330_vol,-0.006777996596734039,0.006031783655323466,-1.1237134791384615,402469,594,741,pooled,r_last30_x_w
flow_1330_adv_w,-0.05822825490729708,0.039249016813264405,-1.483559580213957,401750,593,741,pooled,on1_x_w
r_to1330,0.003702361697880652,0.004485998172987285,0.8253150258006461,401750,593,741,pooled,on1_x_w
abs_r_to1330,0.013612753200671101,0.005474883783723514,2.486400394678872,401750,593,741,pooled,on1_x_w
r_to1330_vol,-0.017631425528835436,0.029144342651242026,-0.6049690583117011,401750,593,741,pooled,on1_x_w
flow_1330_adv_w,0.09620714054270675,0.06966132362232379,1.3810696601790673,401750,593,741,pooled,oc1_x_w
r_to1330,-0.005081342627760684,0.007390763508973465,-0.6875260751600552,401750,593,741,pooled,oc1_x_w
abs_r_to1330,-0.004049678311257082,0.009176678567532497,-0.44130109619236596,401750,593,741,pooled,oc1_x_w
r_to1330_vol,0.016092122477407173,0.02702366323019146,0.59548264572172,401750,593,741,pooled,oc1_x_w
flow_1330_adv_w,0.03393854227479624,0.08245266899905696,0.4116124157871034,401750,593,741,pooled,cc1_x_w
r_to1330,0.0014144249996051305,0.0076430454288003435,0.18506039415588552,401750,593,741,pooled,cc1_x_w
abs_r_to1330,0.006351015449060506,0.011310996198750378,0.5614903707387114,401750,593,741,pooled,cc1_x_w
r_to1330_vol,-0.048984200953030466,0.037762879981396366,-1.297152149866806,401750,593,741,pooled,cc1_x_w
flow_1330_adv_w,0.025288774009015358,0.028747229838059253,0.8796942923361211,68118,592,142,within-stock,r_1330_close_x_w
flow_1330_adv_w,0.060924318512736116,0.07908070693358012,0.7704068523806502,67979,591,142,within-stock,cc1_x_w
