decile,n,mean_flow_adv,mean_r_t,on1_x_w_bps,on1_x_w_se,oc1_x_w_bps,oc1_x_w_se,cc1_x_w_bps,cc1_x_w_se,cc5_x_w_bps,cc5_x_w_se
1,2980,-0.012931843849161276,-0.04991707,18.536031023671285,9.37774329304851,-9.057267037847424,20.742745239875543,9.923554082819923,24.706536790315866,-21.011176377140508,46.76269027782497
2,2979,-0.002041578997588382,-0.030721975,-2.921744126275193,4.92044499090858,9.513571529689122,11.774875615255052,6.745178587026569,12.473618317275955,41.964101527439844,26.60647124581661
3,2980,-0.0005725242959884912,-0.020860773,-1.6804880254353152,3.2139684746251156,-6.678353922560415,6.597314440210159,-8.605738977546775,7.170089502009355,16.89058515213842,16.873296829670373
4,2979,-0.00015783159470380908,-0.015027257,-4.642514807144776,2.6293634326557487,4.614380998535062,5.494319460118573,-0.5593622791688635,6.179586563836831,-6.787300431530224,13.712525891065564
5,2980,-2.6340081985743422e-05,-0.007908801,-1.8110134846990418,2.0927048100240806,-1.6340333124723432,3.905016330790481,-3.383689973461432,4.705101426352223,2.5519796527965064,10.543647584460565
6,2979,3.163543521879412e-05,0.0093845315,2.32396185815804,2.0746830983425046,0.2014238762229441,3.9026611428679447,2.3404474582579464,4.3692379412404545,14.552299081186616,10.616532314879079
7,2979,0.00016041790890165364,0.015487404,4.638582945384304,2.4436698999878503,-0.7822226058938256,4.910042828247584,4.1624061612585646,5.713174475628093,-3.6282205318343275,13.752485038521222
8,2980,0.000515740104203847,0.02096701,6.9091126849157884,3.001245994640945,-7.076648552000764,6.7746038584214245,0.16854730367119686,7.397215675320481,17.45890058256545,16.488278416211095
9,2979,0.001798914350684702,0.030381186,13.070725078414972,4.406968832829205,-5.619117626564405,9.240531817232945,7.251825664591889,10.477566033006589,33.17202446625151,23.749287910134385
10,2980,0.012782107533187675,0.056926362,7.789146162594523,7.399776427945539,-5.321910928214752,16.812161510334942,3.1057804301581102,18.377646977634313,-68.20744387902887,40.59946997053163
