subset,n,n_dates,rev_treated_bps,rev_treated_se,rev_ctl_bps,rev_ctl_se,excess_bps,excess_se,y
all,2956,469,18.447494237909638,7.606664378647359,-1.2876364360677444,2.8912725083179383,19.735130673977384,6.816131475533557,on1_x
year=2024,326,171,2.849109200975427,17.061155643156233,3.8318432832664895,3.8758316481876416,-0.9827340822910574,15.553910338950624,on1_x
year=2025,1662,244,12.635216526415867,9.613490009181348,-0.9542055515063796,2.86134711924379,13.589422077922256,8.670304289596302,on1_x
year=2026,968,54,34.034258591549374,15.309288727836032,-3.6376496693065907,7.368124845139901,37.671908260855965,13.463123290038304,on1_x
up days,1411,333,3.63635434696386,9.522501026678002,-0.2909023357556081,2.7114472578523894,3.9272566827194644,9.03820685558685,on1_x
down days,1545,320,32.16943671074252,12.17119385602861,-2.2110716399682193,5.198319468244287,34.38050835071074,10.471260530966983,on1_x
all,2956,469,4.852377669404165,19.598956069972118,1.7934168285935177,5.392786367072088,3.0589608408106392,17.597027798375315,cc1_x
year=2024,326,171,46.37947916525503,28.053336004230754,11.331785055735294,6.764382380548318,35.04769410951973,26.660290571913958,cc1_x
year=2025,1662,244,-27.405930278005982,22.682226962662842,5.216864499606324,5.858547531918419,-32.62279477761231,21.14693131420201,cc1_x
year=2026,968,54,47.21545665560742,45.02128720879309,-7.508145614611032,12.985192817862778,54.72360227021845,38.78669916219583,cc1_x
up days,1411,333,-1.9481020023570892,23.57687794417197,1.011152135692949,7.202587174297279,-2.9592541380500355,21.576974520447138,cc1_x
down days,1545,320,11.152756406669514,32.663607716562105,2.5181545053385603,8.605820856353994,8.634601901330942,29.06896213133087,cc1_x
