var,coef,se,t,n,n_dates,n_stocks,model,y
flow_adv_w,-0.06483701616464066,0.035135263664902536,-1.8453544787087488,1487597,932,2960,reversal:flow_adv,on1_x_w
r_t,-0.001630369081424098,0.002470018781829203,-0.6600634349090689,1487597,932,2960,reversal:flow_adv,on1_x_w
abs_r_t,0.00021088738253268946,0.0028353556788084976,0.07437775236061768,1487597,932,2960,reversal:flow_adv,on1_x_w
r_t_vol,-0.0036541212349160087,0.011741789000742126,-0.3112065150110477,1487597,932,2960,reversal:flow_adv,on1_x_w
flow_adv_w,0.07857530182331061,0.07548887750868495,1.0408858154536815,1487597,932,2960,reversal:flow_adv,oc1_x_w
r_t,0.0016592948097684166,0.004051463385274792,0.40955443798386304,1487597,932,2960,reversal:flow_adv,oc1_x_w
abs_r_t,-0.024825715266877386,0.004910012161296089,-5.056141298909568,1487597,932,2960,reversal:flow_adv,oc1_x_w
r_t_vol,0.010765318072636627,0.014433303245307718,0.745866548334072,1487597,932,2960,reversal:flow_adv,oc1_x_w
flow_adv_w,0.010908870345492308,0.08655142151808921,0.1260391817275047,1487597,932,2960,reversal:flow_adv,cc1_x_w
r_t,-8.45631233565045e-05,0.0043845205834241565,-0.01928674338448736,1487597,932,2960,reversal:flow_adv,cc1_x_w
abs_r_t,-0.025350817515195613,0.005530216141651597,-4.584055462907206,1487597,932,2960,reversal:flow_adv,cc1_x_w
r_t_vol,0.00823157216920561,0.0161924270231779,0.5083593804327732,1487597,932,2960,reversal:flow_adv,cc1_x_w
flow_adv_w,-0.00994712212362429,0.15557478121468113,-0.06393788277226008,1479486,928,2956,reversal:flow_adv,cc5_x_w
r_t,-0.006065145040468013,0.008267863469228849,-0.7335806962755415,1479486,928,2956,reversal:flow_adv,cc5_x_w
abs_r_t,-0.10607556970204153,0.011946227895724991,-8.879419564731485,1479486,928,2956,reversal:flow_adv,cc5_x_w
r_t_vol,0.12294000955929948,0.04036009847731686,3.0460780374060312,1479486,928,2956,reversal:flow_adv,cc5_x_w
flow_pre_adv_w,0.47344595445652826,0.07597624002656558,6.231500193889364,77417,594,162,pressure:flow_pre_adv,r_last30_x_w
r_pre,-0.2076018860945711,0.020255730560206128,-10.249044608759768,77417,594,162,pressure:flow_pre_adv,r_last30_x_w
abs_r_pre,-0.18138988446885515,0.015975522331766776,-11.354238108895357,77417,594,162,pressure:flow_pre_adv,r_last30_x_w
r_pre_vol,0.7946459885455838,0.25377161833106465,3.13134303107492,77417,594,162,pressure:flow_pre_adv,r_last30_x_w
flow_pre_adv_w,-0.06467644979587593,0.03129020437701021,-2.0669871317106363,77261,593,162,reversal:flow_pre_adv(+last30 ctrl),on1_x_w
r_pre,-0.015848190840246162,0.006390344544273119,-2.4800213400776565,77261,593,162,reversal:flow_pre_adv(+last30 ctrl),on1_x_w
abs_r_pre,0.020649176780309066,0.007103883700220845,2.906744768311329,77261,593,162,reversal:flow_pre_adv(+last30 ctrl),on1_x_w
r_pre_vol,0.14221355780054254,0.04698617391690883,3.026710752231826,77261,593,162,reversal:flow_pre_adv(+last30 ctrl),on1_x_w
r_last30_x_w,0.013596779973496216,0.013253258886874415,1.0259197446872492,77261,593,162,reversal:flow_pre_adv(+last30 ctrl),on1_x_w
flow_pre_adv_w,-0.026044962051333574,0.06752355138986936,-0.38571670943304576,77261,593,162,reversal:flow_pre_adv(+last30 ctrl),cc1_x_w
r_pre,-0.011006914233120283,0.009486907000578863,-1.1602215803790081,77261,593,162,reversal:flow_pre_adv(+last30 ctrl),cc1_x_w
abs_r_pre,0.019349084085268423,0.011827316941426141,1.6359656362548871,77261,593,162,reversal:flow_pre_adv(+last30 ctrl),cc1_x_w
r_pre_vol,0.030981675923494774,0.0548967046239913,0.5643631277268867,77261,593,162,reversal:flow_pre_adv(+last30 ctrl),cc1_x_w
r_last30_x_w,0.017701129342185824,0.022023026928467505,0.8037555146111596,77261,593,162,reversal:flow_pre_adv(+last30 ctrl),cc1_x_w
