point,event_bps,event_se,n,comparison_bps,excess_bps
t 09:30,-357.8336884252076,20.123362986981043,1280,-254.40098887040034,-103.43269955480724
t 10:30,-149.05376479099067,12.301394818533545,1280,-88.4648746378187,-60.588890153171974
t 11:30,-72.16905948305991,6.487949018362301,1280,-47.18383016189397,-24.98522932116594
t 12:30,-33.72898002629893,4.762964489897277,1280,-21.64799270145237,-12.080987324846557
t 13:30,0.0,0.0,1287,0.0,0.0
t 14:30,42.81860393037985,4.16956106979379,1287,22.741145287188278,20.077458643191573
t 15:30,80.38723683379251,7.0062170175939515,1287,40.45548933849268,39.93174749529983
t close,75.68410131240584,7.789430248196635,1287,37.85132689959055,37.83277441281529
t+1 open,56.88686202141508,14.648700470852985,1287,50.26963615917849,6.617225862236587
t+1 10:30,75.44946051692611,19.67484489168902,1266,47.06610593408654,28.383354582839566
t+1 11:30,84.32185995120098,22.07593228710629,1266,47.43312723144754,36.888732719753435
t+1 12:30,84.7645048158716,23.009504479692126,1266,47.85240237830325,36.91210243756835
t+1 13:30,101.66274289616564,26.44097911021957,1287,47.88835102444054,53.7743918717251
t+1 14:30,100.15236354436631,27.32324592934566,1287,48.47313134433501,51.6792322000313
t+1 15:30,106.15227070440766,29.601064793270872,1287,47.3848420602039,58.767428644203754
t+1 close,95.37166468877426,29.227200810117626,1287,44.937046777360926,50.43461791141333
t+2 close,66.66763527544228,31.61024990665554,1287,41.018261015029,25.649374260413282
t+3 close,50.11587029418509,40.10323672772927,1287,47.62586380186767,2.49000649231742
t+4 close,78.10300137644322,52.71757693095647,1287,38.535636094333434,39.56736528210978
t+5 close,50.641870267655506,51.7253158530347,1287,34.49429939651738,16.14757087113813
