k_bps,cost_bps,universe,n_events,n_funds,net_bps,se,avg_size,pnl_total,pnl_2025,sharpe_ann,share_top10_days,share_top5_funds
25,5,all funds,15431,220,14.078391589783957,0.678015881483242,206672.20715858886,3315004.530118659,1984490.1660527594,4.623091142208471,0.2174129165856046,0.2705044869563004
25,5,fund ADV >= $20M,4138,96,10.48454134584299,1.0606686689342724,662473.9838538794,2664744.466276034,1622227.6519441528,3.918838015690423,0.2632351459664244,0.33529896318684244
25,10,all funds,15431,220,9.078391589783957,0.678015881483242,206672.20715858886,1720425.1157865666,1015881.7520911854,2.5458044882931623,0.38606596791746267,0.39201002709837895
25,10,fund ADV >= $20M,4138,96,5.484541345842989,1.0606686689342724,662473.9838538794,1294085.7936823573,789359.3362070364,1.988951780372898,0.503191895759115,0.5181126514933783
50,5,all funds,5627,216,26.100570299004648,1.4273508076248136,192821.20060831067,1986841.0396771897,1302711.02996353,3.3580039687606353,0.2749592485792304,0.3022743682682247
50,5,fund ADV >= $20M,1411,92,19.21728882555312,2.552278575616567,653825.1772199799,1554047.6630855766,1061901.1349539952,2.753047771105187,0.3415842818103248,0.3834226811436789
50,10,all funds,5627,216,21.10057029900465,1.4273508076248136,192821.20060831067,1444338.5917657074,979754.518876582,2.5095204590396203,0.354568138257641,0.3559677701296636
50,10,fund ADV >= $20M,1411,92,14.217288825553121,2.552278575616567,653825.1772199799,1092774.000556881,788768.3923681942,1.9775465911467982,0.45748783361940515,0.4648400851839363
100,5,all funds,1371,187,46.86005441754462,3.636003228978815,169512.4580686834,807531.6619423822,569023.389817983,2.202491374514157,0.49206153740338443,0.44702444721018286
100,5,fund ADV >= $20M,302,68,32.18922216132126,7.966858658699391,642621.1468070055,611948.8756376731,451480.70781545766,1.699925974700322,0.6466638028235316,0.5719141746375107
100,10,all funds,1371,187,41.8600544175446,3.636003228978815,169512.4580686834,691330.8719362997,505462.0529329246,1.9205388109837176,0.5557695967651005,0.48828329159869227
100,10,fund ADV >= $20M,302,68,27.189222161321254,7.96685865869939,642621.1468070055,514913.08246981516,399073.8395591173,1.4538026455321509,0.7442963634416495,0.6357024499197462
