cap on,allocation,cost bps,period,P&L,P&L per year,return on $5M per year,days with trades,share of days,positions/day avg,positions/day median,positions/day max,ETF $/day avg,gross $/day avg,gross $/day max,days cap binds,losing days,losing share,worst day,best day,max drawdown,dd from,dd to,"sharpe (daily, ann.)"
ETF+hedge (gross),pro-rata,5,2025-01..2026-03,876907.0037963872,697099.5739958662,0.13941991479917323,296,0.9337539432176656,16.55743243243243,14.0,53,1363114.6313995556,4070659.8472148986,5000000.000000001,185,58,0.19594594594594594,-12620.102901246917,32012.053378777615,-12620.102901246864,2025-12-10,2025-12-11,9.947069873705999
ETF+hedge (gross),pro-rata,5,2022-07..2026-03,1134540.3192544943,298127.38316176494,0.059625476632352986,633,0.6600625651720542,8.889415481832543,3.0,53,899057.9957362541,2654593.62291298,5000000.000000002,226,170,0.2685624012638231,-40962.759012280534,32838.24951709794,-65367.76335552227,2024-11-19,2024-12-03,4.643923039834341
ETF+hedge (gross),pro-rata,10,2025-01..2026-03,675166.0383492529,536725.0525678603,0.10734501051357206,296,0.9337539432176656,16.55743243243243,14.0,53,1363114.6313995556,4070659.8472148986,5000000.000000001,185,75,0.2533783783783784,-13453.615788603596,31178.720045444275,-13453.615788603609,2025-12-10,2025-12-11,7.772049312464103
ETF+hedge (gross),pro-rata,10,2022-07..2026-03,849988.4636039698,223354.63277184608,0.04467092655436922,633,0.6600625651720542,8.889415481832543,3.0,53,899057.9957362541,2654593.62291298,5000000.000000002,226,203,0.320695102685624,-41796.09234561387,31939.440447728142,-72881.65878770652,2024-11-19,2024-12-03,3.5724838740970672
ETF+hedge (gross),strongest,5,2025-01..2026-03,1150731.3660080705,914776.9849654062,0.18295539699308125,296,0.9337539432176656,10.22972972972973,9.5,35,1365043.1627501035,4070659.8472148986,5000000.000000003,185,55,0.1858108108108108,-49423.34933200741,85378.53413061262,-50893.94960883132,2025-12-09,2025-12-11,6.934859105573496
ETF+hedge (gross),strongest,5,2022-07..2026-03,1363522.1304468815,358297.7861028302,0.07165955722056604,633,0.6600625651720542,5.7788309636650865,3.0,35,899504.5894430776,2654593.62291298,5000000.000000003,226,169,0.2669826224328594,-59670.776964180244,85378.53413061262,-133083.85617286607,2024-11-19,2024-12-03,3.665767814853578
ETF+hedge (gross),strongest,10,2025-01..2026-03,948704.9779210553,754175.5660444982,0.15083511320889964,296,0.9337539432176656,10.22972972972973,9.5,35,1365043.1627501035,4070659.8472148986,5000000.000000003,185,76,0.25675675675675674,-50257.311244707984,84545.20079727928,-53437.20476337429,2025-12-05,2025-12-11,5.754700168466189
ETF+hedge (gross),strongest,10,2022-07..2026-03,1078828.9278881475,283487.89345965924,0.05669757869193185,633,0.6600625651720542,5.7788309636650865,3.0,35,899504.5894430776,2654593.62291298,5000000.000000003,226,206,0.325434439178515,-60504.11029751357,84545.20079727928,-140604.79357412664,2024-11-19,2024-12-03,2.943225377772026
ETF leg only,pro-rata,5,2025-01..2026-03,1570454.3764308963,1248436.9175412804,0.2496873835082561,296,0.9337539432176656,16.55743243243243,14.0,53,2549581.694475128,7606058.317317119,15000000.000000004,51,58,0.19594594594594594,-37852.15289612706,96036.16013633285,-37852.152896126965,2025-12-10,2025-12-11,7.7973665729004935
ETF leg only,pro-rata,5,2022-07..2026-03,1808872.6984008495,475324.2127184714,0.09506484254369428,633,0.6600625651720542,8.889415481832543,3.0,53,1535587.3998743831,4549748.783463173,15000000.000000004,54,170,0.2685624012638231,-76994.08219553935,96036.16013633285,-114010.81516739819,2024-11-19,2024-12-23,3.8712918819151327
ETF leg only,pro-rata,10,2025-01..2026-03,1193116.2856485774,948470.9904840426,0.18969419809680851,296,0.9337539432176656,16.55743243243243,14.0,53,2549581.694475128,7606058.317317119,15000000.000000004,51,75,0.2533783783783784,-40352.15289612706,93536.16013633284,-40352.15289612708,2025-12-10,2025-12-11,6.06317228543837
ETF leg only,pro-rata,10,2022-07..2026-03,1322859.2863406073,347612.6591843932,0.06952253183687863,633,0.6600625651720542,8.889415481832543,3.0,53,1535587.3998743831,4549748.783463173,15000000.000000004,54,203,0.320695102685624,-78560.42530108344,93536.16013633284,-146537.39594059362,2024-11-19,2024-12-23,2.9134500664937604
ETF leg only,strongest,5,2025-01..2026-03,1646142.5552951763,1308605.4382788152,0.2617210876557631,296,0.9337539432176656,15.22972972972973,13.5,41,2549581.694475128,7600178.656446201,15000000.000000004,51,58,0.19594594594594594,-45009.467892188295,112073.22347524385,-46043.19816977577,2025-12-09,2025-12-11,7.174539643010196
ETF leg only,strongest,5,2022-07..2026-03,1937207.576155118,509047.2462889361,0.10180944925778722,633,0.6600625651720542,8.238546603475513,3.0,41,1535587.3998743831,4546474.970652051,15000000.000000004,54,169,0.2669826224328594,-76994.08219553935,112073.22347524385,-97762.48636752329,2024-11-19,2024-12-03,3.9219150607906985
ETF leg only,strongest,10,2025-01..2026-03,1268804.4645128574,1008639.5112215775,0.2017279022443155,296,0.9337539432176656,15.22972972972973,13.5,41,2549581.694475128,7600178.656446201,15000000.000000004,51,75,0.2533783783783784,-47509.467892188295,109573.22347524385,-51043.19816977577,2025-12-09,2025-12-11,5.643258288520496
ETF leg only,strongest,10,2022-07..2026-03,1451194.1640948756,381335.6927548578,0.07626713855097156,633,0.6600625651720542,8.238546603475513,3.0,41,1535587.3998743831,4546474.970652051,15000000.000000004,54,202,0.31911532385466035,-78560.42530108344,109573.22347524385,-110132.4670205142,2024-11-19,2024-12-03,3.026802251204274
