quarter,beta,n,ticker,series_id,L_target
2025Q3,1.9876234407244777,51,AALG,S000091218,2.0
2025Q4,1.9926376599194282,61,AALG,S000091218,2.0
2026Q1,1.9564249139389276,58,AALG,S000091218,2.0
2026Q2,2.019433610352681,59,AALG,S000091218,2.0
2026Q3,1.9846056183580345,54,AALG,S000091218,2.0
2026Q2,1.9836256480765528,62,AAOX,S000100913,2.0
2026Q3,1.9922736674100316,56,AAOX,S000100913,2.0
2026Q3,-2.0001626795439043,47,AAOZ,S000105722,-2.0
2022Q3,1.487275418322337,35,AAPU,S000076233,2.0
2022Q4,1.4791771399207665,59,AAPU,S000076233,2.0
2023Q1,1.4989336938918874,60,AAPU,S000076233,2.0
2023Q2,1.513980933096865,49,AAPU,S000076233,2.0
2023Q3,1.5051053806908474,56,AAPU,S000076233,2.0
2023Q4,1.494601757360836,56,AAPU,S000076233,2.0
2024Q1,1.502570235574181,56,AAPU,S000076233,2.0
2024Q2,1.989964408213991,57,AAPU,S000076233,2.0
2024Q3,2.004637708292905,53,AAPU,S000076233,2.0
2024Q4,2.0202698078222876,53,AAPU,S000076233,2.0
2025Q1,1.9858901956785722,51,AAPU,S000076233,2.0
2025Q2,1.9639608524556653,57,AAPU,S000076233,2.0
2025Q3,2.000510736076186,54,AAPU,S000076233,2.0
2025Q4,2.0110954001500225,51,AAPU,S000076233,2.0
2026Q1,2.005325235753096,54,AAPU,S000076233,2.0
2026Q2,1.9717693034314923,53,AAPU,S000076233,2.0
2026Q3,1.9939486854216775,53,AAPU,S000076233,2.0
2022Q3,1.722583334138893,34,AAPB,S000076355,2.0
2022Q4,1.7137863250677154,59,AAPB,S000076355,2.0
2023Q1,1.693532097316577,60,AAPB,S000076355,2.0
2023Q2,1.740097089110684,49,AAPB,S000076355,2.0
2023Q3,1.7492384904987088,56,AAPB,S000076355,2.0
2023Q4,1.7234034271262288,56,AAPB,S000076355,2.0
2024Q1,1.8791486134359614,56,AAPB,S000076355,2.0
2024Q2,1.99270713985269,57,AAPB,S000076355,2.0
2024Q3,2.0228402013936924,53,AAPB,S000076355,2.0
2024Q4,2.0199645588243698,53,AAPB,S000076355,2.0
2025Q1,1.9850729800751792,51,AAPB,S000076355,2.0
2025Q2,1.9717468413159982,57,AAPB,S000076355,2.0
2025Q3,2.0059390403598694,54,AAPB,S000076355,2.0
2025Q4,1.9985588998488564,51,AAPB,S000076355,2.0
2026Q1,2.001798490191156,54,AAPB,S000076355,2.0
2026Q2,2.0660674360485833,53,AAPB,S000076355,2.0
2026Q3,2.0214315492018287,53,AAPB,S000076355,2.0
2024Q1,1.9412081495476925,48,AAPX,S000083676,2.0
2024Q2,2.0031361714960534,57,AAPX,S000083676,2.0
2024Q3,2.0031728204737234,53,AAPX,S000083676,2.0
2024Q4,2.0208846872136847,53,AAPX,S000083676,2.0
2025Q1,1.9910841917790407,51,AAPX,S000083676,2.0
2025Q2,1.9762226026407284,57,AAPX,S000083676,2.0
2025Q3,2.0107470286021054,54,AAPX,S000083676,2.0
2025Q4,2.019496946130144,51,AAPX,S000083676,2.0
2026Q1,2.0232225636320087,54,AAPX,S000083676,2.0
2026Q2,1.9509299826737292,53,AAPX,S000083676,2.0
2026Q3,1.9940780829218385,53,AAPX,S000083676,2.0
2022Q3,-1.0033728902941317,34,AAPD,S000076244,-1.0
2022Q4,-0.9880808870290259,59,AAPD,S000076244,-1.0
2023Q1,-1.0026159040792948,60,AAPD,S000076244,-1.0
2023Q2,-1.0033051677779374,49,AAPD,S000076244,-1.0
2023Q3,-1.0154918094455838,56,AAPD,S000076244,-1.0
2023Q4,-1.011127369825579,56,AAPD,S000076244,-1.0
2024Q1,-0.9917308957183656,56,AAPD,S000076244,-1.0
2024Q2,-1.006527017492333,57,AAPD,S000076244,-1.0
2024Q3,-0.9950381737648741,53,AAPD,S000076244,-1.0
2024Q4,-1.0099002929032412,53,AAPD,S000076244,-1.0
2025Q1,-0.9993463143233504,51,AAPD,S000076244,-1.0
2025Q2,-0.9951996811592089,57,AAPD,S000076244,-1.0
2025Q3,-0.9954399933012779,54,AAPD,S000076244,-1.0
2025Q4,-0.9962292661802542,51,AAPD,S000076244,-1.0
2026Q1,-1.003486776556813,54,AAPD,S000076244,-1.0
2026Q2,-0.981552341602975,53,AAPD,S000076244,-1.0
2026Q3,-0.9969444425038706,53,AAPD,S000076244,-1.0
2025Q3,1.9952331676194115,62,ARCX,S000091891,2.0
2025Q4,1.9767633051972946,59,ARCX,S000091891,2.0
2026Q1,1.9933984779629386,58,ARCX,S000091891,2.0
2026Q2,1.9468472665375012,59,ARCX,S000091891,2.0
2026Q3,2.0085064119327942,57,ARCX,S000091891,2.0
2025Q2,1.9963215925670859,54,ADBG,S000091233,2.0
2025Q3,1.9754728760640339,59,ADBG,S000091233,2.0
2025Q4,1.9923542966789876,53,ADBG,S000091233,2.0
2026Q1,1.9971327176604141,58,ADBG,S000091233,2.0
2026Q2,1.9906743562315468,60,ADBG,S000091233,2.0
2026Q3,2.0061963821239917,55,ADBG,S000091233,2.0
2026Q2,2.022085799881326,60,ADBU,S000094236,2.0
2026Q3,2.004286880091138,55,ADBU,S000094236,2.0
2026Q3,2.012737126692226,51,ADIU,S000105552,2.0
2026Q3,1.982910487117897,57,AEHG,S000105563,2.0
