signed_decile,FR_median,r_t_mean,next_on_xs_bps,t,n
1,-0.10638346193837761,-0.05435070080795543,1.9520447522704898,0.2994443375672325,5353
2,-0.023549843028406053,-0.03366035643816777,-8.502231973486888,-2.0087395147221465,5353
3,-0.006693935331058919,-0.023570629269918483,-2.3407811879074645,-0.6778888048576602,5352
4,-0.001797147173363345,-0.017499868818379536,-5.22199669161892,-2.12373412026091,5353
5,-0.00027900131621701874,-0.008725945720632238,-2.8168562605396734,-1.579393575777296,5352
6,0.0002907572426864596,0.009596966399175417,-0.5727492721881496,-0.3122758128257998,5353
7,0.0017152764633194045,0.017621639909111676,-0.18965336084333492,-0.0848260685729122,5352
8,0.006080953504286702,0.02400296723026003,5.212067731352707,1.7904569557057182,5353
9,0.021833527158117583,0.03478650461185833,1.0221358793213775,0.28004272319474016,5352
10,0.10359173371370871,0.06442067392243062,-0.4878700292010485,-0.07660011147366173,5353
