abs_r_quintile,group,abs_r_mean,absFR_median,on_xs_bps,t,n
|r| Q1,Gamma high,0.0020371056337365706,0.003465663377936809,-2.533640237472276,-0.6746458112060891,1720
|r| Q1,Gamma low,0.001988537692607426,9.016320005973234e-05,-2.5592621443605705,-1.389609574733312,2789
|r| Q1,Gamma mid,0.002023845060996724,0.0007277028492255139,2.523859605453792,1.1408876004887836,2382
|r| Q1,no lev ETF,0.00203007929849705,0.0,0.21018472222339968,1.2233353988736995,302244
|r| Q2,Gamma high,0.006478355413224477,0.011816226451860559,-2.5897237031355056,-0.6253017448406162,1779
|r| Q2,Gamma low,0.006424812398815601,0.0003853281608692108,-3.086534975593983,-1.6427618025761526,2946
|r| Q2,Gamma mid,0.00638516168403641,0.0024309998874386353,-0.8370743613160256,-0.268620660107575,2551
|r| Q2,no lev ETF,0.006383606155622944,0.0,0.9694263084097704,2.8581391846053026,301859
|r| Q3,Gamma high,0.011778887786847556,0.022156279599379387,-6.298306511821951,-1.3414540210802564,2102
|r| Q3,Gamma low,0.011702567693831819,0.0006938838427522946,2.5799357812551698,1.1861387970638784,3000
|r| Q3,Gamma mid,0.011725050316249621,0.004541457233317276,-7.626898146944764,-2.4239603586592895,2689
|r| Q3,no lev ETF,0.011649525783672687,0.0,1.4457718823442143,2.6653000565437153,301343
|r| Q4,Gamma high,0.019774569355962786,0.03838325478636755,-4.425185688787352,-1.221952109690453,3066
|r| Q4,Gamma low,0.019544914224785187,0.0011840146143668646,-2.606542987520061,-1.2118786143403826,3615
|r| Q4,Gamma mid,0.019726844219010917,0.007749133436209523,-1.0117284322516846,-0.27051765591788324,3292
|r| Q4,no lev ETF,0.01939460274864506,0.0,1.477620279899614,1.8355270276940412,299162
|r| Q5,Gamma high,0.05971234270435789,0.11233955455826918,-0.17013836524587905,-0.03649892119366043,9175
|r| Q5,Gamma low,0.04840429230248288,0.002754774266044078,-4.795110913004827,-1.5488629354907988,5492
|r| Q5,Gamma mid,0.05501312600409,0.019905589815517606,-1.8487973384839236,-0.4892647421619533,6928
|r| Q5,no lev ETF,0.04379146420592269,0.0,-1.6565406572897357,-1.0586183321661058,287540
