proxy,funds,outcome,n_days,a_coef_flow_z_bps,a_t_flow_z,b_coef_r_x_gamma_rel,b_t_r_x_gamma_rel,b_coef_r_t,avg_abs_flow_musd,avg_gamma_busd
DIA,"DDM,DOG,DXD,SDOW,UDOW",r_co_next,1058,2.7355729325922953,0.9841140658171887,-878.9016225736318,-0.4338103716912747,1115.344390056057,64.62347203439586,10.038658885159856
DIA,"DDM,DOG,DXD,SDOW,UDOW",r_cc_next,1058,-0.49681996855487054,-0.13228881485959437,-2357.317935039096,-0.9066204801257126,2221.7308040978783,64.62347203439586,10.038658885159856
FXI,"YANG,YINN",r_co_next,1058,-10.316039553786343,-2.0347536153012493,-686.4724715869821,-0.6228018476307468,260.3402834863014,98.28805762095784,7.378109224102096
FXI,"YANG,YINN",r_cc_next,1058,-9.162179463559092,-1.565669388469781,-1436.3259399522692,-1.3267563813554286,1292.9388328967402,98.28805762095784,7.378109224102096
IWM,"RWM,SRTY,TNA,TWM,TZA,URTY,UWM",r_co_next,1058,1.7882045704939236,0.4826665562969997,-83.1452986233557,-0.11984376916395402,204.45694009716001,208.2725860832914,20.18976000336511
IWM,"RWM,SRTY,TNA,TWM,TZA,URTY,UWM",r_cc_next,1058,-2.1537258885392916,-0.49653239430068025,1031.633078404714,0.9056033766739926,-1481.4940578837732,208.2725860832914,20.18976000336511
KRE,"DPST,SKRE",r_co_next,1058,0.49696026011916455,0.09861525614554009,575.7120122843259,0.8921275881638917,-711.1394252568743,43.76279720155038,3.4312245536946486
KRE,"DPST,SKRE",r_cc_next,1058,2.0665688421910877,0.32734163759607193,483.40466956697986,0.4963803915916529,-556.0029342568399,43.76279720155038,3.4312245536946486
QQQ,"PSQ,QID,QLD,SQQQ,TQQQ",r_co_next,1058,-2.5862795899765625,-0.8670228041913902,-867.9762716384084,-0.4320167228618091,648.3373250605948,1808.2634882388,189.47921066918144
QQQ,"PSQ,QID,QLD,SQQQ,TQQQ",r_cc_next,1058,-3.846007250360153,-0.848004472128122,3018.2081923669366,0.7891737513752325,-3332.9827491030896,1808.2634882388,189.47921066918144
SOXX,"SOXL,SOXS,SSG,USD",r_co_next,1058,-2.9569303520346057,-0.9235175927300252,-85.12496982891601,-0.6712923219286262,-24.049992466904172,1391.8797050172361,74.29400829046963
SOXX,"SOXL,SOXS,SSG,USD",r_cc_next,1058,-7.490014043925182,-1.68814131982768,243.9369308810031,0.9688552412662875,-1118.0912307794188,1391.8797050172361,74.29400829046963
SPY,"SDS,SH,SPDN,SPUU,SPXL,SPXS,SPXU,SSO,UPRO",r_co_next,1058,-0.43336927812237913,-0.15144843519537568,-138.48255134121897,-0.07960049127172743,66.03403929190269,575.1100196730313,82.99752644332041
SPY,"SDS,SH,SPDN,SPUU,SPXL,SPXS,SPXU,SSO,UPRO",r_cc_next,1058,-3.1525620282487044,-0.6950332161515894,2288.850782286365,0.7688906431867228,-2910.2404267996317,575.1100196730313,82.99752644332041
XBI,"LABD,LABU",r_co_next,1058,-1.5410680190186579,-0.5498769664696874,-52.508344499955584,-0.3793491822184952,-21.713313148700188,95.7524728419398,6.60286028004919
XBI,"LABD,LABU",r_cc_next,1058,-6.405149126711585,-0.9769301742253163,337.64362954822326,0.9715185267570338,-1196.262294073039,95.7524728419398,6.60286028004919
XLE,"DIG,DUG,ERX,ERY",r_co_next,1058,7.087387466820724,1.6922777005352567,-1033.2559014821259,-1.3878319824142098,1648.7665944980392,13.910557153206783,1.1905392972122981
XLE,"DIG,DUG,ERX,ERY",r_cc_next,1058,6.550298123430247,0.9559165975926424,577.6856737915009,0.38531225015881043,-342.610883655401,13.910557153206783,1.1905392972122981
XLF,"FAS,FAZ,SEF,SKF,UYG",r_co_next,1058,4.805611016802807,1.4792115889120192,868.42046459246,0.4269197117615397,-480.7943167326176,124.80599707673824,16.173806070996246
XLF,"FAS,FAZ,SEF,SKF,UYG",r_cc_next,1058,4.2894764054252885,0.9947482416160487,7297.066069394077,2.391359754010124,-7191.724125555948,124.80599707673824,16.173806070996246
XLK,"REW,ROM,TECL,TECS",r_co_next,1058,-1.763578454400391,-0.6039399248390344,-667.4446633451513,-0.6037012010795483,597.9548492698367,250.69112190524163,21.665667258281463
XLK,"REW,ROM,TECL,TECS",r_cc_next,1058,-2.0865178705880516,-0.5270245675098947,1390.7333005261396,0.789623631413816,-1735.4050605757257,250.69112190524163,21.665667258281463
