ticker,issuer,underlying,leverage,reset,status,series_id,series_name,trust,trust_cik,kind,underlying_token,listed_now,n_nport,first_report,last_report,last_net_assets,max_net_assets,launched_evidence,nport_ref,ref_match,nport_designated_index,leverage_history,names_by_year
AIBD,Direxion,,-2.0,daily,active,S000083880,Direxion Daily AI and Big Data Bear 2X Shares,Direxion Shares ETF Trust,0001424958,index,AI Big Data,True,8,2024-07-31,2026-04-30,4544320.1,5760797.54,nport,Solactive US AI & Big Data Index,n/a,Solcative US AI & Big Data Index,2024:-2.0; 2026:-2.0,2024:Direxion Daily AI and Big Data Bear 2X Shares; 2026:Direxion Daily AI and Big Data Bear 2X ETF
AIBU,Direxion,,2.0,daily,active,S000083879,Direxion Daily AI and Big Data Bull 2X Shares,Direxion Shares ETF Trust,0001424958,index,AI Big Data,True,8,2024-07-31,2026-04-30,27087378.93,48847791.55,nport,Solactive US AI & Big Data Index,n/a,Solactive US AI & Big Data Index,2024:2.0; 2026:2.0,2024:Direxion Daily AI and Big Data Bull 2X Shares; 2026:Direxion Daily AI and Big Data Bull 2X ETF
PRAI,Defiance,,2.0,daily,active,S000105026,Defiance Pure AI Daily 2X Strategy ETF,Tidal Trust II,0001924868,index,AI Strategy,True,0,,,,,listed_no_nport_yet,,n/a,,2026:2.0,2026:Defiance Pure AI Daily 2X Strategy ETF
DFEN,Direxion,,3.0,daily,active,S000057185,Direxion Daily Aerospace & Defense Bull 3X Shares,Direxion Shares ETF Trust,0001424958,index,Aerospace Defense,True,16,2022-07-31,2026-04-30,365956879.83,483911644.14,nport,DOW JONES U.S SELECT AERO DEF INDEX SWAP || Aerospace & Defense Bull 3X,n/a,,2022:3.0; 2026:3.0,2022:Direxion Daily Aerospace & Defense Bull 3X Shares; 2026:Direxion Daily Aerospace & Defense Bull 3X ETF
,Corgi,,2.0,daily,closed,S000102804,Corgi All Commodities 2x Daily ETF,Corgi ETF Trust I,0002078265,index,All Commodities,False,1,2026-06-30,2026-06-30,384381.87,384381.87,nport,PDBC / Invesco Optimum Yield Diversif / INVESCO OPTIMUM YIELD DIVERSIFIED COMMODITY STRATE,n/a,N/A,2026:2.0,2026:Corgi All Commodities 2x Daily ETF
,Corgi,,2.0,daily,closed,S000102775,Corgi All World 2x Daily ETF,Corgi ETF Trust I,0002078265,index,All World,False,1,2026-06-30,2026-06-30,362957.46,362957.46,nport,VT / Vanguard Total World Stock ETF / VANGUARD TOTAL WORLD STOCK INDEX FUND ETF SHARES-S,n/a,N/A,2026:2.0,2026:Corgi All World 2x Daily ETF
MJIN,ETFMG,,-2.0,daily,closed,S000073455,ETFMG 2x Daily Inverse Alternative Harvest ETF,ETF Managers Trust,0001467831,index,Alternative Harvest,False,2,2022-06-30,2022-09-30,1463874.27,6448364.06,nport,ETFMG Alternative Harvest ETF / ETFMG Alternative Harvest ETF / 26924G508 TRSS 101222,n/a,Prime Alternative Harvest Index NTR,2022:-2.0,2022:ETFMG 2X Daily Inverse Alternative Harvest ETF
MJXL,ETFMG,,2.0,daily,closed,S000072019,ETFMG 2X Daily Alternative Harvest ETF,ETF Managers Trust,0001467831,index,Alternative Harvest,False,2,2022-06-30,2022-09-30,389899.3,416393.08,nport,ETFMG Alternative Harvest ETF / ETFMG Alternative Harvest ETF / 26924G508 TRS 071023,n/a,Prime Alternative Harvest Index NTR,2022:2.0,2022:ETFMG 2X Daily Alternative Harvest ETF
WILD,VistaShares,,2.0,daily,active,S000092977,Vistashares Animal Spirits Daily 2x Strategy ETF,Tidal Trust III,0001722388,index,Animal Spirits Strategy,True,2,2025-07-31,2025-10-31,4957102.82,4957102.82,nport,common stock / AMAZON INC SWAP MAREX || common stock / NVIDIA CORPORATION - L- MAREX || common stock / STRATEGY INC CL - L- MAREX,n/a,BITA Tactical Exposure US Innovation Leaders Index,2025:2.0,2025:VistaShares Animal Spirits Daily 2X Strategy ETF
TBXU,Direxion,,2.0,daily,active,S000092912,Direxion Daily Biotech Top 5 Bull 2X ETF,Direxion Shares ETF Trust,0001424958,index,Biotech Top 5,True,3,2025-10-31,2026-04-30,2951896.57,4147863.2,nport,DX D BIOTECH T 5 BULL 2X ETF  SWAP || ARGENX SE - ADR / ARGENX SE - ADR,n/a,NYSE Biotechnology Top 5 Equal Weight Index,2025:2.0; 2026:2.0,2025:Direxion Daily Super Sector Biotech Bull 2X Shares; 2026:Direxion Daily Biotech Top 5 Bull 2X ETF
,Corgi,,2.0,daily,closed,S000102786,Corgi Brazil 2x Daily ETF,Corgi ETF Trust I,0002078265,index,Brazil,False,1,2026-06-30,2026-06-30,351190.73,351190.73,nport,EWZ / iShares MSCI Brazil ETF / ISHARES MSCI BRAZIL ETF-SWAP-CANT-L,n/a,N/A,2026:2.0,2026:Corgi Brazil 2x Daily ETF
UHPIX,ProFunds,,-2.0,daily,active,S000020741,ULTRASHORT CHINA PROFUND,ProFunds,0001039803,index,CHINA PROFUND,True,16,2022-07-31,2026-04-30,2198260.73,4286235.12,nport,"UHPIX_BKTCN_UBS || UHPIX_BKTCN_GOLDMAN || HSBC SECURITIES (USA), INC. B 3.5 , 5/01/2026",n/a,S&P China Select ADR Index,2022:-2.0,2022:UltraShort China ProFund
CHAD,Direxion,,-1.0,daily,closed,S000048906,Direxion Daily CSI 300 China A Share Bear 1X Shares,Direxion Shares ETF Trust,0001424958,index,CSI 300 China Share,False,3,2022-07-31,2023-01-31,13761007.48,151964220.12,nport,DEUTSCHE X-TRACKERS HARVEST CSI 300 SWAP,n/a,CSI 300 Net Total Return Index USD Index,2022:-1.0,2022:Direxion Daily CSI 300 China A Share Bear 1X Shares
CHAU,Direxion,,2.0,daily,active,S000048742,Direxion Daily CSI 300 China A Share Bull 2X Shares,Direxion Shares ETF Trust,0001424958,index,CSI 300 China Share,True,16,2022-07-31,2026-04-30,104054323.56,332268072.59,nport,DEUTSCHE X-TRACKERS HARVEST CSI 300 SWAP || DEUTSCHE BANK AG / XTRACKERS HARVEST CSI 300 CH,n/a,CSI 300 Net Total Return Index USD Index,2022:2.0; 2026:2.0,2022:Direxion Daily CSI 300 China A Share Bull 2X Shares; 2026:Direxion Daily CSI 300 China A Share Bull 2X ETF
CWEB,Direxion,,2.0,daily,active,S000055198,Direxion Daily CSI China Internet Index Bull 2X Shares,Direxion Shares ETF Trust,0001424958,index,CSI China Internet Index,True,16,2022-07-31,2026-04-30,251903042.09,458162312.71,nport,KraneShares Trust / KRANESHARES CSI CHINA INTERN || KRANESHARES CSI CHINA INTERNET ETF SWAP,n/a,CSI Overseas China Internet USD Index,2022:2.0; 2026:2.0,2022:Direxion Daily CSI China Internet Index Bull 2X Shares; 2026:Direxion Daily CSI China Internet Index Bull 2X ETF
CVSB,,,-2.0,unknown,active,S000077963,Calvert Ultra-Short Investment Grade ETF,Morgan Stanley ETF Trust,0001676326,index,Calvert Ultra-Short Investment Grade,True,14,2023-03-31,2026-06-30,212534558.31,212534558.31,nport,"FHLMC / FHLMC, REMIC, Series 5391, Class FA || DB Master Finance LLC / DB Master Finance LLC, Series 2017-1A, Class A2II || Driven Brands Funding LLC / Driven Brands Funding LLC, Series 2020-2A, Class A2",n/a,,2023:-2.0,2023:Calvert Ultra-Short Investment Grade ETF
,Corgi,,2.0,daily,closed,S000102797,Corgi China 2x Daily ETF,Corgi ETF Trust I,0002078265,index,China,False,1,2026-06-30,2026-06-30,1232270.55,1232270.55,nport,FXI / iShares China Large-Cap ETF / ISHARES CHINA LARGE-CAP ETF-SWAP-CANT-L,n/a,N/A,2026:2.0,2026:Corgi China 2x Daily ETF
DRAX,Defiance,,2.0,daily,active,S000085121,Defiance Daily Target 2X Long China Dragons ETF,Tidal Trust II,0001924868,index,China Dragons,True,0,,,,,listed_no_nport_yet,,n/a,,2024:2.0; 2025:2.0,2024:Defiance Daily Target 2X Long Lithium ETF; 2025:Defiance Daily Target 2X Long China Dragons ETF
CLDS,Direxion,,-2.0,daily,closed,S000071022,Direxion Daily Cloud Computing Bear 2X Shares,Direxion Shares ETF Trust,0001424958,index,Cloud Computing,False,1,2022-07-31,2022-07-31,15258031.94,15258031.94,nport,INDXX USA CLOUD COMPUTING INDEX SWAP,n/a,,2022:-2.0,2022:Direxion Daily Cloud Computing Bear 2X Shares
CLDL,Direxion,,2.0,daily,closed,S000070706,Direxion Daily Cloud Computing Bull 2X Shares,Direxion Shares ETF Trust,0001424958,index,Cloud Computing,False,12,2022-07-31,2025-04-30,5679589.36,9057661.16,nport,INDXX USA CLOUD COMPUTING INDEX SWAP || Crowdstrike Holdings Inc / Crowdstrike Holdings Inc COM USD0.0005 CL A,n/a,Indxx USA Cloud Computing Index NTR Index,2022:2.0,2022:Direxion Daily Cloud Computing Bull 2X Shares
SCC,ProShares,,-2.0,daily,active,S000014299,ProShares UltraShort Consumer Discretionary,PROSHARES TRUST,0001174610,index,Consumer Discretionary,True,17,2022-05-31,2026-05-31,5929733.37,8225698.22,nport,Consumer Discretionary Select Sector Index / Total Return Swap || Repurchase Agreement / Repurchase Agreement,n/a,Dow Jones U.S. Consumer Services Index,2022:-2.0; 2023:-2.0,2022:ProShares UltraShort Consumer Services; 2023:ProShares UltraShort Consumer Discretionary
UCC,ProShares,,2.0,daily,active,S000014251,ProShares Ultra Consumer Discretionary,PROSHARES TRUST,0001174610,index,Consumer Discretionary,True,17,2022-05-31,2026-05-31,11580955.37,19584009.12,nport,Consumer Discretionary Select Sector Index / Total Return Swap,n/a,Dow Jones U.S. Consumer Services Index,2022:2.0; 2023:2.0,2022:ProShares Ultra Consumer Services; 2023:ProShares Ultra Consumer Discretionary
WANT,Direxion,,3.0,daily,active,S000027484,Direxion Daily Consumer Discretionary Bull 3X Shares,Direxion Shares ETF Trust,0001424958,index,Consumer Discretionary,True,16,2022-07-31,2026-04-30,20510621.79,42857482.52,nport,CONSUMER DISCRETIONARY SELECT SECTOR TR INDEX SWAP,n/a,,2022:3.0; 2026:3.0,2022:Direxion Daily Consumer Discretionary Bull 3X Shares; 2026:Direxion Daily Consumer Discretionary Bull 3X ETF
SZK,ProShares,,-2.0,daily,active,S000014298,ProShares UltraShort Consumer Staples,PROSHARES TRUST,0001174610,index,Consumer Staples,True,17,2022-05-31,2026-05-31,4846723.38,4846723.38,nport,Consumer Staples Select Sector Index / Total Return Swap,n/a,Dow Jones U.S. Consumer Goods Index,2022:-2.0; 2023:-2.0,2022:ProShares UltraShort Consumer Goods; 2023:ProShares UltraShort Consumer Staples
UGE,ProShares,,2.0,daily,active,S000014250,ProShares Ultra Consumer Staples,PROSHARES TRUST,0001174610,index,Consumer Staples,True,17,2022-05-31,2026-05-31,11707001.39,14401655.54,nport,Consumer Staples Select Sector Index / Total Return Swap,n/a,Dow Jones U.S. Consumer Goods Index,2022:2.0; 2023:2.0,2022:ProShares Ultra Consumer Goods; 2023:ProShares Ultra Consumer Staples
UWPIX,ProFunds,,-2.0,daily,active,S000003083,ULTRASHORT DOW 30 PROFUND,ProFunds,0001039803,index,DOW 30 PROFUND,True,16,2022-07-31,2026-04-30,1051113.64,6800843.97,nport,"UWPIX_DOW_GOLDMAN || UWPIX_DOW_UBS || HSBC SECURITIES (USA), INC. B 3.5 , 5/01/2026",n/a,Dow Jones Industrial Average,2022:-2.0,2022:ULTRASHORT DOW 30 PROFUND
UDPIX,ProFunds,,2.0,daily,active,S000003065,ULTRA DOW 30 PROFUND,ProFunds,0001039803,index,DOW 30 PROFUND,True,16,2022-07-31,2026-04-30,45665683.96,48538507.64,nport,UDPIX_DOW_UBS || UDPIX_DOW_GOLDMAN || UDPIX_DIA_GOLDMAN,n/a,Dow Jones Industrial Average,2022:None,2022:ULTRADOW 30 PROFUND
DRAQ,Tradr,,-2.0,daily,active,S000106999,Tradr 2X Short DRAM Daily ETF,Investment Managers Series Trust II,0001587982,index,DRAM,True,0,,,,,listed_no_nport_yet,,n/a,,2026:-2.0,2026:Tradr 2X Short DRAM Daily ETF
