price_ticker,venue
AALG,Nasdaq
AAOX,
AAPD,Nasdaq
AAPU,Nasdaq
AAPB,Nasdaq
AAPX,Cboe BZX
ARCX,Cboe BZX
ADBG,Nasdaq
ADBU,
AFRU,Cboe BZX
LABX,Cboe BZX
AMDD,Nasdaq
AMDL,Nasdaq
AMDG,Nasdaq
AMUU,Nasdaq
AMZO,
AMZD,Nasdaq
AMZU,Nasdaq
AMZZ,Nasdaq
APHU,Cboe BZX
APLZ,Cboe BZX
APLX,Cboe BZX
APPX,Nasdaq
ARMG,Nasdaq
ASMG,Nasdaq
ASMU,Nasdaq
ASTX,Cboe BZX
ASTY,
AVS,Nasdaq
AVGX,Nasdaq
AVGU,Nasdaq
AVL,Nasdaq
AVGU,Nasdaq
AVGG,Nasdaq
BOEG,Nasdaq
BOEU,Nasdaq
BABX,Nasdaq
KBAB,Nasdaq
BABU,Nasdaq
BAIG,Nasdaq
BEZ,Cboe BZX
BEX,Cboe BZX
KBDU,Nasdaq
BLSG,Nasdaq
BMNU,Cboe BZX
BMNG,Nasdaq
BRKU,Nasdaq
CEGX,Cboe BZX
CIFU,Cboe BZX
CSEX,Cboe BZX
CLSX,Cboe BZX
COHX,Cboe BZX
CONI,Nasdaq
CONL,Nasdaq
COIG,Nasdaq
COIA,NYSE Arca
CONX,Nasdaq
COZX,Cboe BZX
COTG,Nasdaq
CRCD,Cboe BZX
CRCG,Nasdaq
CCUP,Cboe BZX
CRCA,NYSE Arca
CRDU,Cboe BZX
CRMG,Nasdaq
CRMX,Cboe BZX
CRWL,Nasdaq
CORD,Cboe BZX
CRWG,Nasdaq
CRWU,Cboe BZX
CWVX,Cboe BZX
CSCS,Nasdaq
CSCL,Nasdaq
DLLL,Nasdaq
DJTU,Cboe BZX
EOSU,Cboe BZX
FGRU,Cboe BZX
FLYT,Cboe BZX
FUTG,Nasdaq
GEVX,Cboe BZX
GLGG,Nasdaq
GLXU,Cboe BZX
GMEU,Cboe BZX
GGLS,Nasdaq
GGLL,Nasdaq
GOU,Nasdaq
GOOX,Cboe BZX
HIMZ,Nasdaq
ROBN,Cboe BZX
HOOX,Nasdaq
HOOG,Nasdaq
HODU,Nasdaq
IBX,
INTW,Nasdaq
LINT,Nasdaq
IONL,Nasdaq
IONX,Nasdaq
IREZ,Cboe BZX
IRE,NYSE Arca
IREX,Cboe BZX
KJD,Nasdaq
JOBX,Cboe BZX
KEEX,Cboe BZX
KTUP,Cboe BZX
LEUX,Cboe BZX
LITX,Cboe BZX
LLYX,NYSE Arca
ELIL,Nasdaq
LMTL,Nasdaq
LRCU,Cboe BZX
MRAL,Nasdaq
MCHU,
KMLI,Nasdaq
METD,Nasdaq
FBL,Nasdaq
METU,Nasdaq
MPG,Nasdaq
MVLL,Nasdaq
MRVU,Nasdaq
MSFD,Nasdaq
MSFU,Nasdaq
MSFL,Nasdaq
MSFX,Cboe BZX
SMST,Nasdaq
MSTZ,Cboe BZX
MSTX,Nasdaq
MSTU,Cboe BZX
MSTP,Nasdaq
MUD,Nasdaq
MUU,Nasdaq
MULL,Nasdaq
NBIZ,Cboe BZX
NEBX,Cboe BZX
NBIG,Nasdaq
NFXS,Nasdaq
NFLU,Cboe BZX
NFXL,Nasdaq
LNOK,Cboe BZX
NOWL,Nasdaq
NVDQ,Cboe BZX
NVD,Nasdaq
NVDS,Nasdaq
NVDD,Nasdaq
NVDB,NYSE Arca
NVDL,Nasdaq
NVDX,Cboe BZX
NVDU,Nasdaq
NVDG,Nasdaq
NVDB,NYSE Arca
NVOX,NYSE Arca
NVTX,Cboe BZX
NXPX,
ONX,
ONDU,Cboe BZX
OPEX,Cboe BZX
ORCS,Nasdaq
ORCX,Nasdaq
ORCU,Nasdaq
OSCX,Nasdaq
OSSL,
PUL,
PALD,Nasdaq
PALU,Nasdaq
PANG,Nasdaq
PATX,Cboe BZX
KPDD,Nasdaq
PDDL,Nasdaq
PLTD,Nasdaq
