series_id,series_name,all_names,trust,cik,ticker,all_tickers,first_year,last_year,leverage_parsed,leverage_note,reset,underlying,underlying_note,category,active_2026,has_ticker,n_obs,beta,r2,resid_sd,beta_first60,beta_last60,beta_roll_min,beta_roll_max,price_ticker,first_date,last_date,med_dollar_vol,lev_check
S000081167,GraniteShares 2x Short AAL Daily ETF,GraniteShares 1.5x Short AAL Daily ETF | GraniteShares 2x Short AAL Daily ETF,GraniteShares ETF Trust,1689873,AIRD,ALSD | AIRD,2023,2026,-2.0,number,daily,AAL,ticker token,single_stock,True,True,,,,,,,,,,,,,no_prices
S000081150,GraniteShares 1x Short AAL Daily ETF,GraniteShares 1x Short AAL Daily ETF,GraniteShares ETF Trust,1689873,LAS,LAS,2023,2026,-1.0,number,daily,AAL,ticker token,single_stock,True,True,,,,,,,,,,,,,no_prices
S000081158,GraniteShares 2x Long AAL Daily ETF,GraniteShares 1.5x Long AAL Daily ETF | GraniteShares 2x Long AAL Daily ETF,GraniteShares ETF Trust,1689873,AIRL,AALL | AIRL,2023,2026,2.0,number,daily,AAL,ticker token,single_stock,True,True,,,,,,,,,,,,,no_prices
S000091218,Leverage Shares 2X Long AAL Daily ETF,Leverage Shares 2X Long AAL Daily ETF,Themes ETF Trust,1976322,AALG,AALG,2025,2026,2.0,number,daily,AAL,ticker token,single_stock,True,True,301.0,1.9896611654210208,0.9955131384557503,0.003973057446157069,1.9835993673370838,1.988571084253726,1.9598483939154605,2.0278485322183,AALG,2025-07-11,2026-09-23,362279.84828948975,ok
S000100913,Tradr 2X Long AAOI Daily ETF,Tradr 2X Long AAOI Daily ETF,Investment Managers Series Trust II,1587982,AAOX,AAOX,2026,2026,2.0,number,daily,AAOI,ticker token,single_stock,True,True,125.0,1.9840027910310585,0.9989060680918982,0.0055888086433070775,1.9808937281508237,1.9918608573188243,1.9791170399521707,1.992472983740621,AAOX,2026-03-24,2026-09-23,93950059.25312042,ok
S000081148,GraniteShares 2x Short AAPL Daily ETF,GraniteShares 1.75x Short AAPL Daily ETF | GraniteShares 2x Short AAPL Daily ETF,GraniteShares ETF Trust,1689873,APII,APSD | APII,2023,2026,-2.0,number,daily,AAPL,ticker token,single_stock,True,True,,,,,,,,,,,,,no_prices
S000077588,Kurv Apple (AAPL) 1.75x Short Daily ETF,Kurv Apple (AAPL) 1.75x Short Daily ETF,NEOS ETF Trust,1848758,ZAAP,ZAAP,2023,2024,-1.75,number,daily,AAPL,ticker token,single_stock,False,True,,,,,,,,,,,,,no_prices
S000076244,Direxion Daily AAPL Bear 1X ETF,Direxion Daily AAPL Bear 1X Shares | Direxion Daily AAPL Bear 1X ETF,Direxion Shares ETF Trust,1424958,AAPD,AAPD,2022,2026,-1.0,number,daily,AAPL,ticker token,single_stock,True,True,1032.0,-0.9965122812555534,0.9963928670571883,0.0009929193178756233,-0.9929210159733004,-0.9913811115271093,-1.0225572112897081,-0.9707381601944297,AAPD,2022-08-10,2026-09-23,87169255.42721748,ok
S000081151,GraniteShares 1x Short AAPL Daily ETF,GraniteShares 1x Short AAPL Daily ETF,GraniteShares ETF Trust,1689873,PHS,PHS,2023,2026,-1.0,number,daily,AAPL,ticker token,single_stock,True,True,,,,,,,,,,,,,no_prices
S000077577,Kurv Apple (AAPL) 1.75x Long Daily ETF,Kurv Apple (AAPL) 1.75x Long Daily ETF,NEOS ETF Trust,1848758,LAAP,LAAP,2023,2024,1.75,number,daily,AAPL,ticker token,single_stock,False,True,,,,,,,,,,,,,no_prices
