series_id,series_name,all_names,trust,cik,ticker,all_tickers,first_year,last_year,leverage_parsed,leverage_note,reset,underlying,underlying_note,category,active_2026,has_ticker
S000094276,Direxion Daily ABNB Bear 1X ETF,Direxion Daily ABNB Bear 1X ETF,Direxion Shares ETF Trust,0001424958,,,2025,2026,-1.0,number,daily,ABNB,ticker token,index_other,True,False
S000093815,Leverage Shares 2X Long ABNB Daily ETF,Leverage Shares 2X Long ABNB Daily ETF,Themes ETF Trust,0001976322,,,2025,2026,2.0,number,daily,ABNB,ticker token,index_other,True,False
S000094277,Direxion Daily ABNB Bull 2X ETF,Direxion Daily ABNB Bull 2X ETF,Direxion Shares ETF Trust,0001424958,,,2025,2026,2.0,number,daily,ABNB,ticker token,index_other,True,False
S000094365,GraniteShares 2x Long ABNB Daily ETF,GraniteShares 2x Long ABNB Daily ETF,GraniteShares ETF Trust,0001689873,,,2025,2026,2.0,number,daily,ABNB,ticker token,index_other,True,False
S000080771,TUTTLE CAPITAL 2X INVERSE ALL INNOVATION ETF,TUTTLE CAPITAL 2X INVERSE ALL INNOVATION ETF,ETF Opportunities Trust,0001771146,,,2023,2024,-2.0,number,daily,ALL,ticker token,index_other,False,False
S000080770,TUTTLE CAPITAL 2X ALL INNOVATION ETF,TUTTLE CAPITAL 2X ALL INNOVATION ETF,ETF Opportunities Trust,0001771146,,,2023,2024,2.0,number,daily,ALL,ticker token,index_other,False,False
S000077591,Kurv Bank of America (BAC) 1.5x Short Daily ETF,Kurv Bank of America (BAC) 1.5x Short Daily ETF,NEOS ETF Trust,0001848758,DBAC,DBAC,2023,2024,-1.5,number,daily,BAC,ticker token,index_other,False,True
S000077590,Kurv Bank of America (BAC) 1.5x Long Daily ETF,Kurv Bank of America (BAC) 1.5x Long Daily ETF,NEOS ETF Trust,0001848758,UBAC,UBAC,2023,2024,1.5,number,daily,BAC,ticker token,index_other,False,True
S000107510,Leverage Shares 2X Long BE Semiconductor Daily ETF,Leverage Shares 2X Long BE Semiconductor Daily ETF,Themes ETF Trust,0001976322,,,2026,2026,2.0,number,daily,BE,ticker token,index_other,True,False
S000079917,Direxion Daily NYSE FANG+ Bear 2X Shares,Direxion Daily NYSE FANG+ Bear 2X Shares,Direxion Shares ETF Trust,0001424958,,,2023,2026,-2.0,number,daily,FANG,ticker token,index_other,True,False
S000079916,Direxion Daily NYSE FANG+ Bear 1X Shares,Direxion Daily NYSE FANG+ Bear 1X Shares,Direxion Shares ETF Trust,0001424958,,,2023,2024,-1.0,number,daily,FANG,ticker token,index_other,False,False
S000071020,Direxion Daily NYSE FANG+ Bull 2X ETF,Direxion Daily Select Large Caps & FANGs Bull 2X Shares | Direxion Daily NYSE FANG+ Bull 2X Shares | Direxion Daily NYSE FANG+ Bull 2X ETF,Direxion Shares ETF Trust,0001424958,FNGG,FNGG,2022,2026,2.0,number,daily,FANG,ticker token,index_other,True,True
S000105760,Tradr 2X Long FANG Daily ETF,Tradr 2X Long FANG Daily ETF,Investment Managers Series Trust II,0001587982,,,2026,2026,2.0,number,daily,FANG,ticker token,index_other,True,False
S000099904,ProShares Daily Target 3x NYSE FANG+,ProShares Daily Target 3x NYSE FANG+,PROSHARES TRUST,0001174610,,,2026,2026,3.0,number,daily,FANG,ticker token,index_other,True,False
S000003278,ACCESS FLEX BEAR HIGH YIELD FUND,ACCESS FLEX BEAR HIGH YIELD FUND,Access One Trust,0001301123,AFBSX,AFBIX | AFBSX,2022,2022,-1.0,inverse no number,daily,FLEX,ticker token,index_other,False,True
S000093826,Leverage Shares 2X Long GOLD Daily ETF,Leverage Shares 2X Long GOLD Daily ETF,Themes ETF Trust,0001976322,,,2025,2026,2.0,number,daily,GOLD,ticker token,index_other,True,False
S000077580,Kurv Goldman Sachs (GS) 1.5x Short Daily ETF,Kurv Goldman Sachs (GS) 1.5x Short Daily ETF,NEOS ETF Trust,0001848758,SGS,SGS,2023,2024,-1.5,number,daily,GS,ticker token,index_other,False,True
S000077579,Kurv Goldman Sachs (GS) 1.5x Long Daily ETF,Kurv Goldman Sachs (GS) 1.5x Long Daily ETF,NEOS ETF Trust,0001848758,LGS,LGS,2023,2024,1.5,number,daily,GS,ticker token,index_other,False,True
S000003706,Inverse Dow 2x Strategy Fund,Inverse Dow 2x Strategy Fund,RYDEX DYNAMIC FUNDS,0001092720,RYCWX,RYIDX | RYCZX | RYCWX,2022,2026,-2.0,number,daily,MSTR,company name,index_other,True,True
S000003755,Inverse Dow 2x Strategy Fund,Inverse Dow 2x Strategy Fund,RYDEX VARIABLE TRUST,0001064046,,,2022,2026,-2.0,number,daily,MSTR,company name,index_other,True,False
S000012143,Inverse Russell 2000 2x Strategy Fund,Inverse Russell 2000 2x Strategy Fund,RYDEX DYNAMIC FUNDS,0001092720,RYIRX,RYIRX | RYIUX | RYIZX,2022,2026,-2.0,number,daily,MSTR,company name,index_other,True,True
S000018292,Inverse Emerging Markets 2x Strategy Fund,Inverse Emerging Markets 2x Strategy Fund,RYDEX SERIES FUNDS,0000899148,RYWYX,RYWWX | RYWZX | RYWYX,2022,2026,-2.0,number,daily,MSTR,company name,index_other,True,True
S000003694,Inverse NASDAQ-100 Strategy Fund,Inverse NASDAQ-100 Strategy Fund,RYDEX SERIES FUNDS,0000899148,RYALX,RYAIX | RYAPX | RYACX | RYALX,2022,2026,-1.0,inverse no number,daily,MSTR,company name,index_other,True,True
S000003745,Inverse Mid-Cap Strategy Fund,Inverse Mid-Cap Strategy Fund,RYDEX VARIABLE TRUST,0001064046,,,2022,2026,-1.0,inverse no number,daily,MSTR,company name,index_other,True,False
S000003771,Inverse Mid-Cap Strategy Fund,Inverse Mid-Cap Strategy Fund,RYDEX SERIES FUNDS,0000899148,RYCLX,RYMHX | RYAGX | RYCLX,2022,2026,-1.0,inverse no number,daily,MSTR,company name,index_other,True,True
S000003772,Inverse Russell 2000 Strategy Fund,Inverse Russell 2000 Strategy Fund,RYDEX SERIES FUNDS,0000899148,RYCQX,RYSHX | RYAFX | RYCQX,2022,2026,-1.0,inverse no number,daily,MSTR,company name,index_other,True,True
S000015882,Inverse High Yield Strategy Fund,Inverse High Yield Strategy Fund,RYDEX SERIES FUNDS,0000899148,RYIHX,RYILX | RYIYX | RYIHX,2022,2026,-1.0,inverse no number,daily,MSTR,company name,index_other,True,True
S000016689,Inverse High Yield Strategy Fund,Inverse High Yield Strategy Fund,RYDEX VARIABLE TRUST,0001064046,,,2022,2024,-1.0,inverse no number,daily,MSTR,company name,index_other,False,False
S000071021,Direxion Bitcoin Strategy Bear ETF,Direxion Bitcoin Strategy Bear ETF,Direxion Shares ETF Trust,0001424958,REKT,REKT,2022,2026,-1.0,inverse no number,daily,MSTR,company name,index_other,True,True
S000074987,AXS SHORT BITCOIN STRATEGY ETF,AXS SHORT BITCOIN STRATEGY ETF,Investment Managers Series Trust II,0001587982,,,2022,2023,-1.0,inverse no number,daily,MSTR,company name,index_other,False,False
S000003695,Europe 1.25x Strategy Fund,Europe 1.25x Strategy Fund,RYDEX SERIES FUNDS,0000899148,RYCEX,RYCEX | RYEUX | RYAEX,2022,2026,1.25,number,daily,MSTR,company name,index_other,True,True
S000003749,Europe 1.25x Strategy Fund,Europe 1.25x Strategy Fund,RYDEX VARIABLE TRUST,0001064046,,,2022,2026,1.25,number,daily,MSTR,company name,index_other,True,False
S000003685,Mid-Cap 1.5x Strategy Fund,Mid-Cap 1.5x Strategy Fund,RYDEX SERIES FUNDS,0000899148,RYDCX,RYMDX | RYAHX | RYDCX,2022,2026,1.5,number,daily,MSTR,company name,index_other,True,True
S000003697,Russell 2000 1.5x Strategy Fund,Russell 2000 1.5x Strategy Fund,RYDEX SERIES FUNDS,0000899148,RYCMX,RYMKX | RYAKX | RYCMX,2022,2026,1.5,number,daily,MSTR,company name,index_other,True,True
S000003727,Mid-Cap 1.5x Strategy Fund,Mid-Cap 1.5x Strategy Fund,RYDEX VARIABLE TRUST,0001064046,,,2022,2026,1.5,number,daily,MSTR,company name,index_other,True,False
S000003705,Dow 2x Strategy Fund,Dow 2x Strategy Fund,RYDEX DYNAMIC FUNDS,0001092720,RYCVX,RYLDX | RYCYX | RYCVX,2022,2026,2.0,number,daily,MSTR,company name,index_other,True,True
S000003731,Weakening Dollar 2x Strategy Fund,Weakening Dollar 2x Strategy Fund,RYDEX VARIABLE TRUST,0001064046,,,2022,2026,2.0,number,daily,MSTR,company name,index_other,True,False
S000003733,Strengthening Dollar 2x Strategy Fund,Strengthening Dollar 2x Strategy Fund,RYDEX VARIABLE TRUST,0001064046,,,2022,2026,2.0,number,daily,MSTR,company name,index_other,True,False
S000003750,Japan 2x Strategy Fund,Japan 2x Strategy Fund,RYDEX VARIABLE TRUST,0001064046,,,2022,2026,2.0,number,daily,MSTR,company name,index_other,True,False
S000003753,Dow 2x Strategy Fund,Dow 2x Strategy Fund,RYDEX VARIABLE TRUST,0001064046,,,2022,2026,2.0,number,daily,MSTR,company name,index_other,True,False
S000003761,Weakening Dollar 2x Strategy Fund,Weakening Dollar 2x Strategy Fund,RYDEX SERIES FUNDS,0000899148,RYWJX,RYWBX | RYWDX | RYWJX,2022,2026,2.0,number,daily,MSTR,company name,index_other,True,True
S000003775,Strengthening Dollar 2x Strategy Fund,Strengthening Dollar 2x Strategy Fund,RYDEX SERIES FUNDS,0000899148,RYSJX,RYSBX | RYSDX | RYSJX,2022,2026,2.0,number,daily,MSTR,company name,index_other,True,True
S000012142,Russell 2000 2x Strategy Fund,Russell 2000 2x Strategy Fund,RYDEX DYNAMIC FUNDS,0001092720,RYRSX,RYRUX | RYRLX | RYRSX,2022,2026,2.0,number,daily,MSTR,company name,index_other,True,True
S000018291,Emerging Markets 2x Strategy Fund,Emerging Markets 2x Strategy Fund,RYDEX SERIES FUNDS,0000899148,RYWVX,RYWTX | RYWUX | RYWVX,2022,2026,2.0,number,daily,MSTR,company name,index_other,True,True
S000018293,Japan 2x Strategy Fund,Japan 2x Strategy Fund,RYDEX SERIES FUNDS,0000899148,RYJHX,RYJSX | RYJTX | RYJHX,2022,2026,2.0,number,daily,MSTR,company name,index_other,True,True
S000047391,Monthly Rebalance NASDAQ-100 2x Strategy Fund,Monthly Rebalance NASDAQ-100 2x Strategy Fund,RYDEX SERIES FUNDS,0000899148,RMQCX,RMQHX | RMQAX | RMQCX,2022,2026,2.0,number,monthly,MSTR,company name,index_other,True,True
S000080610,2x Bitcoin Strategy ETF,2x Bitcoin Strategy ETF,Volatility Shares Trust,0001884021,BITX,BITX,2023,2026,2.0,number,daily,MSTR,company name,index_other,True,True
S000080698,ProShares Ultra Bitcoin Strategy ETF,ProShares Ultra Bitcoin Strategy ETF,PROSHARES TRUST,0001174610,,,2023,2023,2.0,proshares ultra,daily,MSTR,company name,index_other,False,False
S000080726,Direxion Daily Bitcoin Strategy Bull 2X Shares,Direxion Daily Bitcoin Strategy Bull 2X Shares,Direxion Shares ETF Trust,0001424958,,,2023,2023,2.0,number,daily,MSTR,company name,index_other,False,False
S000085556,Defiance 2X Ether Strategy ETF,Defiance 2X Ether Strategy ETF,Tidal Trust II,0001924868,,,2024,2025,2.0,number,daily,MSTR,company name,index_other,False,False
S000102403,Defiance Pure Space Daily 2X Strategy ETF,Defiance Pure Space Daily 2X Strategy ETF,Tidal Trust II,0001924868,SPCL,SPCL,2026,2026,2.0,number,daily,MSTR,company name,index_other,True,True
S000003704,Inverse NASDAQ-100(R) 2x Strategy Fund,Inverse NASDAQ-100(R) 2x Strategy Fund,RYDEX DYNAMIC FUNDS,0001092720,RYVNX,RYVTX | RYCDX | RYVNX,2022,2026,-2.0,number,daily,R,ticker token,index_other,True,True
S000011814,Inverse Russell 2000(R) 2x Strategy Fund,Inverse Russell 2000(R) 2x Strategy Fund,RYDEX VARIABLE TRUST,0001064046,,,2022,2024,-2.0,number,daily,R,ticker token,index_other,False,False
S000012817,Inverse NASDAQ-100(R) 2x Strategy Fund,Inverse NASDAQ-100(R) 2x Strategy Fund,RYDEX VARIABLE TRUST,0001064046,,,2022,2024,-2.0,number,daily,R,ticker token,index_other,False,False
S000003746,Inverse Russell 2000(R) Strategy Fund,Inverse Russell 2000(R) Strategy Fund,RYDEX VARIABLE TRUST,0001064046,,,2022,2026,-1.0,inverse no number,daily,R,ticker token,index_other,True,False
S000003757,Inverse NASDAQ-100(R) Strategy Fund,Inverse NASDAQ-100(R) Strategy Fund,RYDEX VARIABLE TRUST,0001064046,,,2022,2026,-1.0,inverse no number,daily,R,ticker token,index_other,True,False
S000053315,Direxion Monthly NASDAQ-100(R) Bull 1.25X Fund,Direxion Monthly NASDAQ-100(R) Bull 1.25X Fund,DIREXION FUNDS,0001040587,DXNLX,DXNLX,2022,2026,1.25,number,monthly,R,ticker token,index_other,True,True
S000003728,Russell 2000(R) 1.5x Strategy Fund,Russell 2000(R) 1.5x Strategy Fund,RYDEX VARIABLE TRUST,0001064046,,,2022,2026,1.5,number,daily,R,ticker token,index_other,True,False
S000011960,Direxion Monthly NASDAQ-100(R) Bull 1.75X Fund,Direxion Monthly NASDAQ-100(R) Bull 2X Fund | Direxion Monthly NASDAQ-100(R) Bull 1.75X Fund,DIREXION FUNDS,0001040587,DXQLX,DXQLX,2022,2026,1.75,number,monthly,R,ticker token,index_other,True,True
S000003703,NASDAQ-100(R) 2x Strategy Fund,NASDAQ-100(R) 2x Strategy Fund,RYDEX DYNAMIC FUNDS,0001092720,RYVYX,RYVLX | RYCCX | RYVYX,2022,2026,2.0,number,daily,R,ticker token,index_other,True,True
S000003752,NASDAQ-100(R) 2x Strategy Fund,NASDAQ-100(R) 2x Strategy Fund,RYDEX VARIABLE TRUST,0001064046,,,2022,2026,2.0,number,daily,R,ticker token,index_other,True,False
S000011813,Russell 2000(R) 2x Strategy Fund,Russell 2000(R) 2x Strategy Fund,RYDEX VARIABLE TRUST,0001064046,,,2022,2026,2.0,number,daily,R,ticker token,index_other,True,False
S000003077,SHORT REAL ESTATE PROFUND,SHORT REAL ESTATE PROFUND,ProFunds,0001039803,SRPSX,SRPIX | SRPSX,2022,2026,-1.0,inverse no number,daily,REAL,ticker token,index_other,True,True
S000022765,Direxion Daily S&P 500(R) Bear 3X ETF,Direxion Daily S&P 500(R) Bear 3X Shares | Direxion Daily S&P 500(R) Bear 3X ETF,Direxion Shares ETF Trust,0001424958,SPXS,SPXS,2022,2026,-3.0,number,daily,S,"ambiguous:S,P,R",index_other,True,True
S000024911,ProShares UltraPro Short S&P500,ProShares UltraPro Short S&P500,PROSHARES TRUST,0001174610,SPXU,SPXU,2022,2026,-3.0,proshares ultrapro,daily,S,ticker token,index_other,True,True
S000049374,Direxion Daily S&P Biotech Bear 3X ETF,Direxion Daily S&P Biotech Bear 3X Shares | Direxion Daily S&P Biotech Bear 3X ETF,Direxion Shares ETF Trust,0001424958,LABD,LABD,2022,2026,-3.0,number,daily,S,"ambiguous:S,P",index_other,True,True
S000066280,Direxion Daily S&P 500(R) High Beta Bear 3X ETF,Direxion Daily S&P 500(R) High Beta Bear 3X Shares | Direxion Daily S&P 500(R) High Beta Bear 3X ETF,Direxion Shares ETF Trust,0001424958,HIBS,HIBS,2022,2026,-3.0,number,daily,S,"ambiguous:S,P,R",index_other,True,True
S000003702,Inverse S&P 500 2x Strategy Fund,Inverse S&P 500 2x Strategy Fund,RYDEX DYNAMIC FUNDS,0001092720,RYTPX,RYTMX | RYCBX | RYTPX,2022,2026,-2.0,number,daily,S,"ambiguous:S,P",index_other,True,True
S000006832,ProShares UltraShort S&P500,ProShares UltraShort S&P500,PROSHARES TRUST,0001174610,SDS,SDS,2022,2026,-2.0,proshares ultra,daily,S,ticker token,index_other,True,True
S000012816,Inverse S&P 500 2x Strategy Fund,Inverse S&P 500 2x Strategy Fund,RYDEX VARIABLE TRUST,0001064046,,,2022,2024,-2.0,number,daily,S,"ambiguous:S,P",index_other,False,False
S000049376,Direxion Daily S&P Oil & Gas Exp. & Prod. Bear 2X ETF,Direxion Daily S&P Oil & Gas Exp. & Prod. Bear 2X Shares | Direxion Daily S&P Oil & Gas Exp. & Prod. Bear 2X ETF,Direxion Shares ETF Trust,0001424958,DRIP,DRIP,2022,2026,-2.0,number,daily,S,"ambiguous:S,P",index_other,True,True
S000075016,Direxion Daily S&P 500 Equal Weight Bear 2X Shares,Direxion Daily S&P 500 Equal Weight Bear 2X Shares,Direxion Shares ETF Trust,0001424958,,,2022,2024,-2.0,number,daily,S,"ambiguous:S,P",index_other,False,False
S000075018,Direxion Daily S&P 500 Pure Growth Bear 2X Shares,Direxion Daily S&P 500 Pure Growth Bear 2X Shares,Direxion Shares ETF Trust,0001424958,,,2022,2024,-2.0,number,daily,S,"ambiguous:S,P",index_other,False,False
S000075020,Direxion Daily S&P 500 Pure Value Bear 2X Shares,Direxion Daily S&P 500 Pure Value Bear 2X Shares,Direxion Shares ETF Trust,0001424958,,,2022,2024,-2.0,number,daily,S,"ambiguous:S,P",index_other,False,False
S000011964,Direxion Monthly S&P 500(R) Bear 1.75X Fund,Direxion Monthly S&P 500(R) Bear 2X Fund | Direxion Monthly S&P 500(R) Bear 1.75X Fund,DIREXION FUNDS,0001040587,DXSSX,DXSSX,2022,2024,-1.75,number,monthly,S,"ambiguous:S,P,R",index_other,False,True
S000003692,Inverse S&P 500 Strategy Fund,Inverse S&P 500 Strategy Fund,RYDEX SERIES FUNDS,0000899148,RYUHX,RYURX | RYARX | RYUCX | RYUHX,2022,2026,-1.0,inverse no number,daily,S,"ambiguous:S,P",index_other,True,True
S000003754,Inverse S&P 500 Strategy Fund,Inverse S&P 500 Strategy Fund,RYDEX VARIABLE TRUST,0001064046,,,2022,2026,-1.0,inverse no number,daily,S,"ambiguous:S,P",index_other,True,False
S000006828,ProShares Short S&P500,ProShares Short S&P500,PROSHARES TRUST,0001174610,SH,SH,2022,2026,-1.0,inverse no number,daily,S,ticker token,index_other,True,True
S000028924,ProShares Short S&amp;P Regional Banking,ProShares Short S&amp;P Regional Banking,PROSHARES TRUST,0001174610,KRS,KRS,2022,2022,-1.0,inverse no number,daily,S,"ambiguous:S,P",index_other,False,True
S000031292,Direxion Daily S&P 500 (R) Bear 1X ETF,Direxion Daily S&P 500 (R) Bear 1X Shares | Direxion Daily S&P 500 (R) Bear 1X ETF,Direxion Shares ETF Trust,0001424958,SPDN,SPDN,2022,2026,-1.0,number,daily,S,"ambiguous:S,P,R",index_other,True,True
S000094246,Direxion Daily S&P Top 20 US Stocks Bear 1X ETF,Direxion Daily S&P Top 20 US Stocks Bear 1X ETF,Direxion Shares ETF Trust,0001424958,,,2025,2026,-1.0,number,daily,S,"ambiguous:S,P",index_other,True,False
S000011950,Direxion Monthly S&P 500(R) Bull 1.75X Fund,Direxion Monthly S&P 500(R) Bull 2X Fund | Direxion Monthly S&P 500(R) Bull 1.75X Fund,DIREXION FUNDS,0001040587,DXSLX,DXSLX,2022,2026,1.75,number,monthly,S,"ambiguous:S,P,R",index_other,True,True
S000003698,S&P 500 2x Strategy Fund,S&P 500 2x Strategy Fund,RYDEX DYNAMIC FUNDS,0001092720,RYTNX,RYTTX | RYTNX | RYCTX,2022,2026,2.0,number,daily,S,"ambiguous:S,P",index_other,True,True
S000003751,S&P 500 2x Strategy Fund,S&P 500 2x Strategy Fund,RYDEX VARIABLE TRUST,0001064046,,,2022,2026,2.0,number,daily,S,"ambiguous:S,P",index_other,True,False
S000006821,ProShares Ultra S&P500,ProShares Ultra S&P500,PROSHARES TRUST,0001174610,SSO,SSO,2022,2026,2.0,proshares ultra,daily,S,ticker token,index_other,True,True
S000027922,Direxion Daily S&P 500(R) Bull 2X ETF,Direxion Daily S&P 500(R) Bull 2X Shares | Direxion Daily S&P 500(R) Bull 2X ETF,Direxion Shares ETF Trust,0001424958,SPUU,SPUU,2022,2026,2.0,number,daily,S,"ambiguous:S,P,R",index_other,True,True
S000028923,ProShares Ultra S&amp;P Regional Banking,ProShares Ultra S&amp;P Regional Banking,PROSHARES TRUST,0001174610,KRU,KRU,2022,2022,2.0,proshares ultra,daily,S,"ambiguous:S,P",index_other,False,True
S000049375,Direxion Daily S&P Oil & Gas Exp. & Prod. Bull 2X ETF,Direxion Daily S&P Oil & Gas Exp. & Prod. Bull 2X Shares | Direxion Daily S&P Oil & Gas Exp. & Prod. Bull 2X ETF,Direxion Shares ETF Trust,0001424958,GUSH,GUSH,2022,2026,2.0,number,daily,S,"ambiguous:S,P",index_other,True,True
S000075015,Direxion Daily S&P 500 Equal Weight Bull 2X Shares,Direxion Daily S&P 500 Equal Weight Bull 2X Shares,Direxion Shares ETF Trust,0001424958,EVEN,EVEN,2022,2026,2.0,number,daily,S,"ambiguous:S,P",index_other,True,True
S000075017,Direxion Daily S&P 500 Pure Growth Bull 2X Shares,Direxion Daily S&P 500 Pure Growth Bull 2X Shares,Direxion Shares ETF Trust,0001424958,,,2022,2024,2.0,number,daily,S,"ambiguous:S,P",index_other,False,False
S000075019,Direxion Daily S&P 500 Pure Value Bull 2X Shares,Direxion Daily S&P 500 Pure Value Bull 2X Shares,Direxion Shares ETF Trust,0001424958,,,2022,2024,2.0,number,daily,S,"ambiguous:S,P",index_other,False,False
S000084599,Themes S&P 500 Ultra Enhanced Iron Condor Income ETF,Themes S&P 500 Ultra Enhanced Iron Condor Income ETF,Themes ETF Trust,0001976322,,,2024,2026,2.0,proshares ultra,daily,S,"ambiguous:S,P",index_other,True,False
S000094235,Direxion Daily S&P Top 20 US Stocks Bull 2X ETF,Direxion Daily S&P Top 20 US Stocks Bull 2X ETF,Direxion Shares ETF Trust,0001424958,,,2025,2026,2.0,number,daily,S,"ambiguous:S,P",index_other,True,False
S000094769,ProShares Ultra S&P 500 Equal Weight,ProShares Ultra S&P 500 Equal Weight,PROSHARES TRUST,0001174610,URSP,URSP,2026,2026,2.0,proshares ultra,daily,S,"ambiguous:S,P",index_other,True,True
