series_id,series_name,trust,reject_reason,leverage,reset,underlying_token
S000000094,BNY Mellon Short Term Municipal Bond Fund,BNY MELLON SHORT TERM MUNICIPAL BOND FUND,product_type,,unknown,BNY Mellon Term Municipal Bond
S000000097,BNY Mellon Ultra Short Income Fund,BNY MELLON ULTRA SHORT INCOME FUND,product_type,-2.0,unknown,BNY Mellon Income
S000000252,Invesco Short Duration Inflation Protected Fund,AIM INVESTMENT SECURITIES FUNDS (INVESCO INVESTMENT SECURITIES FUNDS),product_type,,unknown,Duration Inflation Protected
S000000256,Invesco Short Term Bond Fund,AIM INVESTMENT SECURITIES FUNDS (INVESCO INVESTMENT SECURITIES FUNDS),product_type,,unknown,Term Bond
S000000297,BNY Mellon Short Term Income Fund,"BNY Mellon Investment Funds VII, Inc.",product_type,,unknown,BNY Mellon Term Income
S000000366,BNY Mellon National Short-Term Municipal Bond Fund,BNY MELLON FUNDS TRUST,product_type,,unknown,BNY Mellon National Short-Term Municipal Bond
S000000368,BNY Mellon Short-Term U.S. Government Securities Fund,BNY MELLON FUNDS TRUST,product_type,,unknown,BNY Mellon Short-Term U.S. Government Securities
S000000757,Baird Short-Term Bond Fund,BAIRD FUNDS INC,product_type,,unknown,Baird Short-Term Bond
S000000849,Leuthold Grizzly Short Fund,LEUTHOLD FUNDS INC,product_type,,unknown,Leuthold Grizzly
S000000859,Perritt Ultra MicroCap Fund,PERRITT FUNDS INC,product_type,2.0,unknown,Perritt MicroCap
S000000879,Wasatch Ultra Growth Fund,WASATCH FUNDS TRUST,product_type,2.0,unknown,Wasatch Growth
S000000954,Dimensional VA Short-Term Fixed Portfolio,DFA INVESTMENT DIMENSIONS GROUP INC,product_type,,unknown,Dimensional VA Short-Term Fixed Portfolio
S000000973,DFA SHORT-TERM MUNICIPAL BOND PORTFOLIO,DFA INVESTMENT DIMENSIONS GROUP INC,product_type,,unknown,DFA SHORT-TERM MUNICIPAL BOND PORTFOLIO
S000000984,DFA SHORT-TERM GOVERNMENT PORTFOLIO,DFA INVESTMENT DIMENSIONS GROUP INC,product_type,,unknown,DFA SHORT-TERM GOVERNMENT PORTFOLIO
S000001108,Boston Partners Long/Short Equity Fund,"RBB FUND, INC.",product_type,,unknown,Boston Partners Long/Short Equity
S000001151,TCW METWEST ULTRA SHORT BOND FUND,TCW Metropolitan West Funds,product_type,-2.0,unknown,TCW METWEST BOND
S000001367,THRIVENT SHORT-TERM BOND FUND,THRIVENT MUTUAL FUNDS,product_type,,unknown,THRIVENT SHORT-TERM BOND
S000001437,THRIVENT SHORT-TERM BOND PORTFOLIO,THRIVENT SERIES FUND INC,product_type,,unknown,THRIVENT SHORT-TERM BOND PORTFOLIO
S000001471,BATS: Short Duration Taxable Total Return Series,BLACKROCK ALLOCATION TARGET SHARES,product_type,,unknown,BATS: Duration Taxable Total Return Series
S000001601,Short Duration Bond Fund,RUSSELL INVESTMENT CO,product_type,,unknown,Duration Bond
S000001905,PF Short Duration Bond Fund,PACIFIC FUNDS SERIES TRUST,product_type,,unknown,PF Duration Bond
S000002141,"T. Rowe Price Short-Term Bond Fund, Inc.","T. Rowe Price Short-Term Bond Fund, Inc.",product_type,,unknown,T. Rowe Price Short-Term Bond
