ticker,issuer,underlying,leverage,inception_date,status,close_date,include,exclude_reason,verify_flags,leverage_history,realized_L_full,realized_L_q_min,realized_L_q_max,realized_L_n,series_id,series_name,trust,trust_cik,reset,n_nport,first_report,last_report,last_net_assets,max_net_assets,current_aum,etf_prices,etf_first_px,etf_last_px,ref_match,nport_ref,nport_designated_index,names_by_year
AAPU,Direxion,AAPL,2.0,2022-08-09,active,,True,,leverage_changed_by_name:2022:2.0; 2023:1.5; 2026:2.0,2022:2.0; 2023:1.5; 2026:2.0,1.8104172141997068,1.4791771399207665,2.0202698078222876,907.0,S000076233,Direxion Daily AAPL Bull 2X Shares,Direxion Shares ETF Trust,1424958,daily,15,2022-10-31,2026-04-30,205313245.56,271848036.12,182680000.0,True,2022-08-09,2026-09-21,ok_name,APPLE INC SWAP || APPLE INC Swap,Apple Inc.,2022:Direxion Daily AAPL Bull 2X Shares; 2023:Direxion Daily AAPL Bull 1.5X Shares; 2026:Direxion Daily AAPL Bull 2X ETF
AAPB,GraniteShares,AAPL,2.0,2022-08-10,active,,True,,leverage_changed_by_name:2022:2.0; 2023:1.75; 2024:2.0,2022:2.0; 2023:1.75; 2024:2.0,1.9068814077396983,1.693532097316577,2.0660674360485833,906.0,S000076355,GraniteShares 2x Long AAPL Daily ETF,GraniteShares ETF Trust,1689873,daily,16,2022-09-30,2026-06-30,18340331.3,35995188.01,18180000.0,True,2022-08-10,2026-09-21,ok_ticker,"Apple, Inc. / TD Cowen / AAPL EQUITY SWAP 1",APPLE GROSS CLOSE,2022:GraniteShares 2x Long Apple Daily ETF; 2023:GraniteShares 1.75x Long AAPL Daily ETF; 2024:GraniteShares 2x Long AAPL Daily ETF
AMDL,GraniteShares,AMD,2.0,2024-03-18,active,,True,,leverage_changed_by_name:2022:2.0; 2023:1.25,2022:2.0; 2023:1.25,2.002538286242564,1.9870486342885068,2.031118658421498,585.0,S000076350,GraniteShares 2x Long AMD Daily ETF,GraniteShares ETF Trust,1689873,daily,10,2024-03-31,2026-06-30,1661346362.67,1661346362.67,1070000000.0000001,True,2024-03-18,2026-09-21,ok_ticker,"Advanced Micro Devices, Inc. / Wells Fargo Securities, LLC / Recv Long 2x Amd Trs Wf || Advanced Micro Devices, Inc. / BMO Capital Markets / Recv Long 2x Amd Trs Bmo || Advanced Micro Devices, Inc. / Nomura Securities / Recv Long 2x Amd Trs Nm",AMD GROSS CLOSE,2022:GraniteShares 2x Long AMD Daily ETF; 2023:GraniteShares 1.25x Long AMD Daily ETF
AMZU,Direxion,AMZN,2.0,2022-09-07,active,,True,,leverage_changed_by_name:2022:2.0; 2023:1.5; 2026:2.0,2022:2.0; 2023:1.5; 2026:2.0,1.7721091935789752,1.4705972686390638,2.0027774602519917,915.0,S000076237,Direxion Daily AMZN Bull 2X Shares,Direxion Shares ETF Trust,1424958,daily,15,2022-10-31,2026-04-30,427879693.63,490277710.51,277720000.0,True,2022-09-07,2026-09-21,ok_name,Amazon Inc Swap,"Amazon.com, Inc.",2022:Direxion Daily AMZN Bull 2X Shares; 2023:Direxion Daily AMZN Bull 1.5X Shares; 2026:Direxion Daily AMZN Bull 2X ETF
AMZZ,GraniteShares,AMZN,2.0,2024-03-18,active,,True,,leverage_changed_by_name:2022:2.0; 2023:1.5; 2024:2.0,2022:2.0; 2023:1.5; 2024:2.0,1.9899245178834264,1.9572076659168969,2.0258189687830237,570.0,S000076354,GraniteShares 2x Long AMZN Daily ETF,GraniteShares ETF Trust,1689873,daily,10,2024-03-31,2026-06-30,45186743.01,65434371.69,38450000.0,True,2024-03-18,2026-09-21,ok_ticker,"Amazon.com, Inc. / TD Cowen / AMZN EQUITY SWAP 1",AMAZON GROSS CLOSE,2022:GraniteShares 2x Long Amazon Daily ETF; 2023:GraniteShares 1.5x Long AMZN Daily ETF; 2024:GraniteShares 2x Long AMZN Daily ETF
BABX,GraniteShares,BABA,2.0,2022-12-13,active,,True,,leverage_changed_by_name:2022:2.0; 2023:1.75; 2024:2.0,2022:2.0; 2023:1.75; 2024:2.0,1.938489857643333,1.7341722923460798,2.0183209911024105,871.0,S000076352,GraniteShares 2x Long BABA Daily ETF,GraniteShares ETF Trust,1689873,daily,15,2022-12-31,2026-06-30,74512515.2,216675273.76,122960000.0,True,2022-12-13,2026-09-21,ok_ticker,"Alibaba Group Holding, Ltd. / Clear Street / Recv Long Baba Trs Cs1 || Alibaba Group Holding, Ltd. / TD Cowen / BABA EQUITY SWAP 1 || Alibaba Group Holding, Ltd. / Wells Fargo Securities, LLC / Recv Long Baba Trs Wf",ALIBABA GROSS CLOSE,2022:GraniteShares 2x Long Alibaba Daily ETF; 2023:GraniteShares 1.75x Long BABA Daily ETF; 2024:GraniteShares 2x Long BABA Daily ETF
CIEX,Tradr,CIEN,2.0,2026-07-01,active,,True,,nport_without_reference_holding,2026:2.0,1.9967439605720032,1.9967439605720032,1.9967439605720032,55.0,S000105751,Tradr 2X Long CIEN Daily ETF,Investment Managers Series Trust II,1587982,daily,1,2026-06-30,2026-06-30,250000.0,250000.0,1020000.0,True,2026-07-01,2026-09-21,no_ref,,,2026:Tradr 2X Long CIEN Daily ETF
CONL,GraniteShares,COIN,2.0,2022-08-10,active,,True,,leverage_changed_by_name:2022:2.0; 2023:1.5; 2024:2.0,2022:2.0; 2023:1.5; 2024:2.0,1.784333118099499,1.4903822242887785,1.9912207054905402,997.0,S000076356,GraniteShares 2x Long COIN Daily ETF,GraniteShares ETF Trust,1689873,daily,16,2022-09-30,2026-06-30,549416200.67,1056622703.39,614300000.0,True,2022-08-10,2026-09-21,ok_ticker,"Coinbase Global, Inc. / Clear Street / COIN EQUITY SWAP 7 || Coinbase Global, Inc. / TD Cowen / COIN EQUITY SWAP 6 || Coinbase Global, Inc. / Nomura Securities / COIN EQUITY SWAP 4",COIN GROSS CLOSE,2022:GraniteShares 2x Long Coinbase Daily ETF; 2023:GraniteShares 1.5x Long COIN Daily ETF; 2024:GraniteShares 2x Long COIN Daily ETF
CONI,GraniteShares,COIN,-2.0,2024-09-04,active,,True,,leverage_changed_by_name:2023:-1.5; 2024:-2.0,2023:-1.5; 2024:-2.0,-1.5896254045971192,-2.0120364192908937,-0.9944945729772253,489.0,S000081138,GraniteShares 2x Short COIN Daily ETF,GraniteShares ETF Trust,1689873,daily,0,,,,,13520000.0,True,2024-09-04,2026-09-21,no_ref,,,2023:GraniteShares 1.5x Short COIN Daily ETF; 2024:GraniteShares 2x Short COIN Daily ETF
GGLL,Direxion,GOOGL,2.0,2022-09-07,active,,True,,leverage_changed_by_name:2022:2.0; 2023:1.5; 2026:2.0,2022:2.0; 2023:1.5; 2026:2.0,1.794121584681794,1.476416470152006,2.0087560330840377,914.0,S000076239,Direxion Daily GOOGL Bull 2X Shares,Direxion Shares ETF Trust,1424958,daily,15,2022-10-31,2026-04-30,1136095171.39,1166102411.65,1030000000.0,True,2022-09-07,2026-09-21,ok_name,Google Class A SWAP || GOOGLE CLASS A SWAP || Google Class A Swap,Alphabet Inc - Class A,2022:Direxion Daily GOOGL Bull 2X Shares; 2023:Direxion Daily GOOGL Bull 1.5X Shares; 2026:Direxion Daily GOOGL Bull 2X ETF
GOU,GraniteShares,GOOGL,2.0,2025-12-02,active,,True,,leverage_changed_by_name:2022:2.0; 2023:1.75; 2024:2.0,2022:2.0; 2023:1.75; 2024:2.0,1.9949632222478095,1.9743933410010923,2.0786787692683073,177.0,S000076353,GraniteShares 2x Long GOOGL Daily ETF,GraniteShares ETF Trust,1689873,daily,3,2025-12-31,2026-06-30,12062848.69,12062848.69,14090000.0,True,2025-12-02,2026-09-21,ok_name,"Alphabet, Inc. / Marex / Recv Long 2x Googl Trs",GOOGL GROSS CLOSE,2022:GraniteShares 2x Long Alphabet Daily ETF; 2023:GraniteShares 1.75x Long GOOGL Daily ETF; 2024:GraniteShares 2x Long GOOGL Daily ETF
LCDL,GraniteShares,LCID,2.0,2025-04-01,closed,2026-06-30,True,,leverage_changed_by_name:2023:1.5; 2024:2.0,2023:1.5; 2024:2.0,,,,,S000081163,GraniteShares 2x Long LCID Daily ETF,GraniteShares ETF Trust,1689873,daily,5,2025-06-30,2026-06-30,6551848.88,7795593.86,,False,,,ok_ticker,"Lucid Group, Inc. / Marex / Recv Long Lcid Trs Marex",LCID GROSS CLOSE,2023:GraniteShares 1.5x Long LCID Daily ETF; 2024:GraniteShares 2x Long LCID Daily ETF
FBL,GraniteShares,META,2.0,2022-12-13,active,,True,,leverage_changed_by_name:2022:2.0; 2023:1.5; 2024:2.0,2022:2.0; 2023:1.5; 2024:2.0,1.8526874481676698,1.4541351337295614,2.0196720403463027,855.0,S000076340,GraniteShares 2x Long META Daily ETF,GraniteShares ETF Trust,1689873,daily,15,2022-12-31,2026-06-30,197608106.06,379611451.63,188150000.0,True,2022-12-13,2026-09-21,ok_name,"Meta Platforms, Inc. / Clear Street / META EQUITY SWAP 2 || Meta Platforms, Inc. / Morgan Stanley / Recv Meta Trs:30303m102 || Meta Platforms, Inc. / Goldman Sachs / Recv Long  2x Meta Trs Gs",FACEBOOK GROSS CLOSE,2022:GraniteShares 2x Long Meta Platforms Daily ETF; 2023:GraniteShares 1.5x Long META Daily ETF; 2024:GraniteShares 2x Long META Daily ETF
MSFU,Direxion,MSFT,2.0,2022-09-07,active,,True,,leverage_changed_by_name:2022:2.0; 2023:1.5; 2026:2.0,2022:2.0; 2023:1.5; 2026:2.0,1.7861858925055185,1.4681281000920212,2.0178704661481044,864.0,S000076235,Direxion Daily MSFT Bull 2X Shares,Direxion Shares ETF Trust,1424958,daily,15,2022-10-31,2026-04-30,847314508.05,847314508.05,508400000.0,True,2022-09-07,2026-09-21,ok_name,Microsoft Inc Swap,Microsoft Corporation,2022:Direxion Daily MSFT Bull 2X Shares; 2023:Direxion Daily MSFT Bull 1.5X Shares; 2026:Direxion Daily MSFT Bull 2X ETF
NVDL,GraniteShares,NVDA,2.0,2022-12-13,active,,True,,leverage_changed_by_name:2022:2.0; 2023:1.5; 2024:2.0,2022:2.0; 2023:1.5; 2024:2.0,1.8346271732322976,1.4302447256796376,1.999668553355704,883.0,S000076344,GraniteShares 2x Long NVDA Daily ETF,GraniteShares ETF Trust,1689873,daily,15,2022-12-31,2026-06-30,4051232664.45,5367723177.96,3830000000.0,True,2022-12-13,2026-09-21,ok_ticker,NVIDIA Corp. / Clear Street / NVDA EQUITY SWAP 15 || NVIDIA Corp. / Natixis Securities / NVDA EQUITY SWAP 2 || NVIDIA Corp. / Nomura Securities / NVDA EQUITY SWAP 14,NVIDIA GROSS CLOSE,2022:GraniteShares 2x Long NVIDIA Daily ETF; 2023:GraniteShares 1.5x Long NVDA Daily ETF; 2024:GraniteShares 2x Long NVDA Daily ETF
NVDS,Tradr,NVDA,-1.5,2022-07-14,active,,True,,leverage_changed_by_name:2022:-2.0; 2023:-1.25; 2024:-1.25; 2025:-1.5,2022:-2.0; 2023:-1.25; 2024:-1.25; 2025:-1.5,-1.3690742833073537,-1.5076047561848787,-1.2379122185723825,986.0,S000076107,Tradr 1.5X Short NVDA Daily ETF,Investment Managers Series Trust II,1587982,daily,16,2022-09-30,2026-06-30,17904889.96,97820098.71,11910000.0,True,2022-07-14,2026-09-21,ok_ticker,"NVDA / NVIDIA, Inc / TRS NVIDIA CORP / TRS NVIDIA CORP || NVDA / NVIDIA, Inc / CFD NVIDIA CORP / CFD NVIDIA CORP",BITA Tactical Exposure US Semiconductor Index,2022:AXS 2X NVDA Bear Daily ETF; 2023:AXS 1.25X NVDA Bear Daily ETF; 2024:Tradr 1.25X NVDA Bear Daily ETF; 2025:Tradr 1.5X Short NVDA Daily ETF
NVD,GraniteShares,NVDA,-2.0,2023-08-22,active,,True,,leverage_changed_by_name:2023:-1.5; 2024:-2.0,2023:-1.5; 2024:-2.0,-1.95784510551706,-2.0152770011515915,-1.4827530658595969,721.0,S000081142,GraniteShares 2x Short NVDA Daily ETF,GraniteShares ETF Trust,1689873,daily,12,2023-09-30,2026-06-30,60717278.35,186106838.89,54810000.0,True,2023-08-22,2026-09-21,ok_ticker,NVIDIA Corp. / Clear Street / NVDA EQUITY SWAP 1 || NVIDIA Corp. / TD Cowen / GRANITESHARES SHORT NVDA SWAP || NVIDIA Corp. / Goldman Sachs / Recv Short 2x Nvda Gs1,NVIDIA GROSS CLOSE,2023:GraniteShares 1.5x Short NVDA Daily ETF; 2024:GraniteShares 2x Short NVDA Daily ETF
PTIR,GraniteShares,PLTR,2.0,2024-09-04,active,,True,,leverage_changed_by_name:2022:2.0; 2023:1.25; 2024:2.0,2022:2.0; 2023:1.25; 2024:2.0,1.9939337176079013,1.9824019846313587,2.005511572084126,476.0,S000076345,GraniteShares 2x Long PLTR Daily ETF,GraniteShares ETF Trust,1689873,daily,8,2024-09-30,2026-06-30,296770033.01,761707621.8,331660000.0,True,2024-09-04,2026-09-21,ok_ticker,"Palantir Technologies, Inc. / Clear Street / GRANITESHARES LONG PLTR SWAP CLEAR STREET || Palantir Technologies, Inc. / TD Cowen / GRANITESHARES LONG PLTR SWAP COWEN || Palantir Technologies, Inc. / BMO Capital Markets / Recv Long 2x Pltr Trs Bmo",PLTR GROSS CLOSE,2022:GraniteShares 2x Long Palantir Daily ETF; 2023:GraniteShares 1.25x Long PLTR Daily ETF; 2024:GraniteShares 2x Long PLTR Daily ETF
PYPT,AXS,PYPL,1.5,2022-07-01,closed,2023-06-30,True,,leverage_changed_by_name:2022:2.0; 2023:1.5,2022:2.0; 2023:1.5,,,,,S000076095,AXS 1.5X PYPL Bull Daily ETF,Investment Managers Series Trust II,1587982,daily,4,2022-09-30,2023-06-30,1243310.46,1774582.33,,False,,,ok_name,"Paypal Holdings, Inc. / Paypal Holdings, Inc. / TRS PAYPAL HOLDINGS INC / TRS PAYPAL HOLDINGS INC",S&P 600 High Beta Index,2022:AXS 2X PYPL Bull Daily ETF; 2023:AXS 1.5X PYPL Bull Daily ETF
